Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9
663,"(8, 2017)","(40, 2014)","(104, 2013)","(25, 2015)","(19, 2015)","(0, 2016)","(58, 2012)","(4, 2016)","(58, 2015)","(4, 2012)"
664,"(0, 2013)","(102, 2016)","(19, 2013)","(4, 2015)","(19, 2017)","(58, 2015)","(58, 2014)","(19, 2014)","(25, 2014)","(58, 2012)"
665,"(0, 2013)","(4, 2013)","(40, 2013)","(25, 2013)","(0, 2012)","(58, 2017)","(8, 2016)","(40, 2015)","(102, 2015)","(8, 2015)"
666,"(104, 2013)","(19, 2017)","(104, 2015)","(19, 2014)","(25, 2015)","(8, 2014)","(104, 2012)","(25, 2012)","(19, 2012)","(40, 2014)"
667,"(102, 2016)","(25, 2016)","(40, 2015)","(4, 2017)","(0, 2013)","(104, 2015)","(25, 2013)","(25, 2016)","(104, 2017)","(0, 2013)"
668,"(4, 2017)","(58, 2015)","(58, 2017)","(4, 2016)","(19, 2013)","(102, 2015)","(25, 2012)","(19, 2013)","(58, 2013)","(40, 2015)"
669,"(25, 2014)","(4, 2017)","(58, 2013)","(58, 2014)","(40, 2012)","(58, 2017)","(25, 2012)","(58, 2017)","(0, 2016)","(58, 2012)"
670,"(102, 2014)","(8, 2014)","(40, 2014)","(4, 2012)","(104, 2016)","(4, 2012)","(8, 2015)","(19, 2014)","(19, 2017)","(102, 2016)"
671,"(19, 2012)","(25, 2012)","(19, 2012)","(19, 2015)","(58, 2017)","(104, 2015)","(40, 2017)","(104, 2017)","(104, 2012)","(104, 2012)"
672,"(40, 2015)","(0, 2014)","(0, 2016)","(104, 2014)","(102, 2013)","(102, 2014)","(25, 2016)","(4, 2012)","(8, 2013)","(4, 2013)"
673,"(25, 2017)","(102, 2016)","(4, 2017)","(58, 2013)","(40, 2013)","(25, 2014)","(4, 2016)","(8, 2016)","(104, 2013)","(40, 2014)"
674,"(40, 2014)","(4, 2016)","(58, 2013)","(0, 2014)","(58, 2016)","(8, 2012)","(58, 2015)","(104, 2012)","(58, 2016)","(8, 2017)"
675,"(40, 2016)","(4, 2012)","(58, 2016)","(58, 2014)","(102, 2015)","(40, 2013)","(4, 2015)","(19, 2014)","(40, 2012)","(25, 2015)"
676,"(25, 2012)","(0, 2012)","(40, 2013)","(58, 2016)","(104, 2015)","(19, 2012)","(0, 2015)","(8, 2016)","(40, 2012)","(4, 2012)"
677,"(25, 2016)","(25, 2016)","(0, 2016)","(104, 2016)","(0, 2016)","(58, 2017)","(40, 2014)","(104, 2013)","(25, 2016)","(40, 2017)"
678,"(104, 2017)","(58, 2016)","(8, 2017)","(4, 2014)","(8, 2017)","(8, 2013)","(0, 2017)","(19, 2013)","(25, 2015)","(19, 2015)"
679,"(8, 2015)","(0, 2012)","(0, 2013)","(58, 2017)","(102, 2016)","(58, 2016)","(102, 2017)","(0, 2017)","(58, 2012)","(58, 2014)"
680,"(40, 2015)","(58, 2014)","(25, 2016)","(8, 2017)","(19, 2016)","(40, 2012)","(4, 2017)","(58, 2016)","(0, 2012)","(8, 2015)"
681,"(0, 2014)","(102, 2015)","(25, 2017)","(104, 2013)","(40, 2017)","(58, 2012)","(58, 2014)","(104, 2017)","(4, 2013)","(8, 2012)"
682,"(0, 2012)","(8, 2014)","(0, 2014)","(0, 2012)","(104, 2014)","(102, 2012)","(19, 2014)","(0, 2014)","(0, 2013)","(0, 2015)"
683,"(25, 2017)","(19, 2014)","(25, 2017)","(0, 2015)","(8, 2014)","(58, 2016)","(102, 2015)","(4, 2017)","(102, 2017)","(0, 2013)"
684,"(104, 2014)","(25, 2015)","(104, 2014)","(0, 2016)","(8, 2012)","(8, 2014)","(102, 2012)","(40, 2016)","(0, 2016)","(102, 2013)"
685,"(104, 2013)","(104, 2017)","(4, 2017)","(40, 2015)","(40, 2012)","(0, 2013)","(25, 2017)","(8, 2014)","(40, 2016)","(58, 2017)"
686,"(19, 2015)","(102, 2015)","(8, 2013)","(104, 2017)","(40, 2013)","(58, 2016)","(58, 2012)","(104, 2014)","(104, 2014)","(19, 2016)"
687,"(8, 2017)","(4, 2015)","(102, 2015)","(40, 2014)","(4, 2015)","(19, 2017)","(102, 2014)","(25, 2014)","(4, 2016)","(58, 2012)"
688,"(104, 2016)","(8, 2017)","(58, 2014)","(58, 2017)","(25, 2016)","(104, 2013)","(104, 2015)","(25, 2017)","(58, 2015)","(25, 2016)"
689,"(40, 2017)","(58, 2015)","(19, 2017)","(8, 2013)","(40, 2017)","(58, 2017)","(19, 2016)","(25, 2017)","(0, 2014)","(4, 2013)"
690,"(104, 2015)","(25, 2016)","(58, 2014)","(4, 2012)","(19, 2012)","(0, 2012)","(25, 2012)","(58, 2017)","(58, 2014)","(4, 2015)"
691,"(40, 2014)","(25, 2016)","(19, 2012)","(0, 2013)","(58, 2014)","(0, 2014)","(0, 2013)","(4, 2014)","(19, 2013)","(40, 2016)"
692,"(19, 2016)","(102, 2015)","(40, 2015)","(104, 2016)","(40, 2013)","(4, 2014)","(40, 2016)","(0, 2012)","(40, 2015)","(104, 2012)"
693,"(25, 2014)","(58, 2013)","(40, 2013)","(104, 2017)","(4, 2012)","(102, 2017)","(25, 2012)","(102, 2016)","(19, 2017)","(0, 2012)"
694,"(102, 2014)","(102, 2012)","(58, 2016)","(8, 2014)","(40, 2012)","(0, 2013)","(19, 2013)","(102, 2013)","(8, 2014)","(19, 2012)"
695,"(4, 2016)","(4, 2012)","(104, 2017)","(40, 2017)","(58, 2012)","(8, 2014)","(8, 2012)","(104, 2012)","(58, 2013)","(40, 2014)"
696,"(58, 2017)","(19, 2016)","(40, 2017)","(0, 2016)","(19, 2013)","(104, 2016)","(8, 2012)","(104, 2014)","(19, 2014)","(25, 2012)"
697,"(8, 2015)","(40, 2017)","(4, 2012)","(104, 2012)","(4, 2017)","(0, 2014)","(0, 2017)","(0, 2014)","(102, 2017)","(58, 2015)"
698,"(4, 2016)","(19, 2012)","(0, 2013)","(104, 2015)","(19, 2014)","(58, 2017)","(40, 2016)","(104, 2016)","(102, 2017)","(0, 2015)"
699,"(58, 2017)","(0, 2016)","(0, 2013)","(25, 2017)","(58, 2015)","(58, 2017)","(0, 2017)","(25, 2014)","(40, 2012)","(102, 2014)"
700,"(25, 2016)","(58, 2013)","(0, 2013)","(102, 2014)","(104, 2015)","(58, 2013)","(58, 2016)","(19, 2015)","(102, 2017)","(40, 2015)"
701,"(8, 2012)","(4, 2012)","(4, 2017)","(58, 2017)","(102, 2015)","(102, 2017)","(58, 2016)","(40, 2012)","(19, 2017)","(58, 2014)"
702,"(19, 2012)","(40, 2016)","(0, 2015)","(25, 2017)","(102, 2013)","(4, 2014)","(19, 2012)","(102, 2012)","(25, 2013)","(40, 2014)"
703,"(104, 2013)","(102, 2017)","(4, 2013)","(19, 2017)","(104, 2014)","(40, 2014)","(4, 2013)","(0, 2015)","(25, 2016)","(19, 2016)"
704,"(40, 2012)","(102, 2013)","(58, 2016)","(0, 2017)","(0, 2015)","(40, 2013)","(8, 2016)","(104, 2017)","(102, 2016)","(4, 2017)"
705,"(4, 2015)","(40, 2013)","(0, 2017)","(25, 2012)","(8, 2013)","(0, 2012)","(19, 2015)","(8, 2017)","(40, 2013)","(0, 2012)"
706,"(4, 2013)","(8, 2014)","(58, 2012)","(58, 2012)","(4, 2014)","(40, 2014)","(40, 2015)","(25, 2013)","(58, 2013)","(8, 2013)"
707,"(58, 2013)","(102, 2015)","(102, 2014)","(102, 2013)","(25, 2012)","(58, 2012)","(4, 2016)","(104, 2016)","(102, 2015)","(102, 2012)"
708,"(4, 2015)","(4, 2014)","(25, 2014)","(0, 2013)","(58, 2013)","(104, 2013)","(19, 2015)","(19, 2015)","(40, 2017)","(19, 2014)"
709,"(104, 2017)","(102, 2016)","(25, 2013)","(104, 2015)","(102, 2014)","(25, 2015)","(25, 2017)","(58, 2016)","(102, 2012)","(25, 2013)"
710,"(40, 2014)","(40, 2013)","(58, 2014)","(19, 2015)","(4, 2012)","(0, 2013)","(102, 2017)","(0, 2017)","(58, 2016)","(25, 2014)"
711,"(4, 2015)","(40, 2014)","(58, 2014)","(8, 2014)","(104, 2014)","(104, 2017)","(8, 2016)","(104, 2015)","(25, 2016)","(8, 2017)"
712,"(4, 2014)","(104, 2016)","(40, 2012)","(102, 2016)","(102, 2016)","(102, 2015)","(102, 2014)","(4, 2013)","(40, 2015)","(0, 2012)"
713,"(0, 2015)","(102, 2015)","(4, 2016)","(4, 2017)","(19, 2015)","(8, 2017)","(4, 2014)","(58, 2013)","(0, 2014)","(25, 2014)"
714,"(25, 2014)","(25, 2017)","(8, 2013)","(58, 2015)","(25, 2016)","(40, 2012)","(8, 2015)","(8, 2016)","(102, 2012)","(0, 2012)"
715,"(19, 2014)","(40, 2015)","(25, 2013)","(58, 2015)","(4, 2015)","(19, 2017)","(104, 2017)","(25, 2014)","(4, 2015)","(104, 2015)"
716,"(0, 2017)","(40, 2016)","(58, 2012)","(25, 2017)","(8, 2012)","(58, 2012)","(40, 2014)","(4, 2012)","(58, 2017)","(102, 2015)"
717,"(104, 2014)","(104, 2013)","(40, 2015)","(8, 2014)","(19, 2017)","(104, 2017)","(19, 2012)","(102, 2012)","(19, 2012)","(0, 2017)"
718,"(0, 2017)","(40, 2012)","(19, 2012)","(8, 2017)","(0, 2017)","(4, 2013)","(58, 2014)","(19, 2016)","(104, 2012)","(58, 2017)"
719,"(4, 2017)","(40, 2014)","(4, 2016)","(8, 2014)","(0, 2014)","(104, 2016)","(25, 2015)","(25, 2017)","(25, 2013)","(102, 2014)"
720,"(102, 2015)","(40, 2015)","(4, 2016)","(19, 2012)","(19, 2013)","(25, 2013)","(4, 2014)","(4, 2015)","(25, 2013)","(104, 2017)"
721,"(104, 2014)","(19, 2012)","(25, 2014)","(58, 2017)","(0, 2013)","(19, 2015)","(4, 2013)","(40, 2016)","(104, 2013)","(0, 2015)"
722,"(19, 2012)","(102, 2013)","(102, 2017)","(25, 2016)","(104, 2017)","(25, 2015)","(8, 2015)","(58, 2015)","(19, 2017)","(19, 2014)"
723,"(8, 2013)","(8, 2014)","(102, 2014)","(0, 2014)","(0, 2016)","(0, 2017)","(58, 2014)","(4, 2017)","(0, 2012)","(104, 2012)"
724,"(19, 2013)","(8, 2017)","(102, 2013)","(102, 2013)","(0, 2015)","(102, 2014)","(4, 2014)","(0, 2017)","(19, 2014)","(19, 2015)"
725,"(40, 2015)","(25, 2016)","(25, 2012)","(0, 2015)","(25, 2017)","(0, 2017)","(19, 2014)","(58, 2015)","(25, 2012)","(40, 2014)"
726,"(8, 2012)","(4, 2014)","(0, 2015)","(8, 2017)","(40, 2014)","(19, 2015)","(4, 2014)","(104, 2015)","(19, 2016)","(19, 2012)"
727,"(4, 2016)","(8, 2016)","(104, 2016)","(0, 2014)","(25, 2012)","(8, 2016)","(4, 2015)","(19, 2014)","(40, 2013)","(25, 2012)"
728,"(8, 2013)","(104, 2015)","(58, 2016)","(25, 2016)","(25, 2016)","(4, 2014)","(25, 2016)","(0, 2014)","(58, 2016)","(25, 2012)"
729,"(8, 2014)","(4, 2017)","(4, 2017)","(0, 2012)","(19, 2013)","(4, 2015)","(40, 2012)","(0, 2012)","(104, 2016)","(102, 2014)"
730,"(58, 2017)","(40, 2017)","(102, 2013)","(0, 2012)","(58, 2015)","(25, 2017)","(0, 2015)","(19, 2012)","(0, 2014)","(19, 2015)"
731,"(4, 2017)","(4, 2013)","(102, 2017)","(19, 2016)","(4, 2016)","(25, 2016)","(58, 2013)","(40, 2014)","(25, 2017)","(58, 2016)"
732,"(25, 2017)","(40, 2015)","(58, 2014)","(104, 2015)","(102, 2014)","(58, 2013)","(8, 2014)","(0, 2014)","(58, 2015)","(25, 2013)"
733,"(40, 2015)","(8, 2014)","(0, 2015)","(25, 2017)","(8, 2017)","(4, 2012)","(0, 2012)","(40, 2016)","(0, 2015)","(19, 2015)"
734,"(40, 2015)","(40, 2017)","(104, 2015)","(8, 2015)","(104, 2014)","(19, 2015)","(8, 2014)","(25, 2014)","(40, 2016)","(19, 2012)"
735,"(19, 2014)","(0, 2015)","(25, 2017)","(0, 2012)","(8, 2015)","(40, 2015)","(104, 2015)","(0, 2015)","(102, 2013)","(40, 2017)"
736,"(58, 2016)","(25, 2014)","(104, 2015)","(58, 2017)","(25, 2017)","(4, 2017)","(0, 2013)","(25, 2015)","(25, 2013)","(0, 2012)"
737,"(40, 2012)","(19, 2015)","(102, 2014)","(102, 2017)","(102, 2016)","(58, 2016)","(58, 2013)","(0, 2015)","(25, 2015)","(19, 2014)"
738,"(4, 2017)","(102, 2017)","(0, 2016)","(19, 2013)","(102, 2013)","(104, 2014)","(19, 2016)","(0, 2014)","(104, 2013)","(104, 2014)"
739,"(19, 2014)","(25, 2015)","(102, 2012)","(19, 2012)","(104, 2012)","(8, 2015)","(102, 2014)","(8, 2012)","(102, 2012)","(25, 2015)"
740,"(102, 2013)","(0, 2014)","(104, 2015)","(40, 2016)","(25, 2013)","(0, 2016)","(25, 2012)","(102, 2016)","(40, 2015)","(58, 2012)"
741,"(25, 2012)","(40, 2017)","(40, 2017)","(104, 2014)","(58, 2013)","(104, 2017)","(25, 2013)","(58, 2013)","(25, 2013)","(102, 2012)"
742,"(40, 2016)","(8, 2017)","(102, 2016)","(4, 2014)","(40, 2015)","(4, 2015)","(0, 2015)","(104, 2016)","(25, 2016)","(25, 2014)"
743,"(104, 2017)","(4, 2014)","(40, 2014)","(8, 2016)","(104, 2017)","(104, 2013)","(104, 2013)","(0, 2017)","(102, 2017)","(104, 2013)"
744,"(104, 2016)","(19, 2013)","(25, 2015)","(102, 2017)","(0, 2014)","(0, 2017)","(102, 2015)","(104, 2012)","(104, 2012)","(25, 2016)"
745,"(25, 2015)","(25, 2015)","(4, 2016)","(4, 2014)","(104, 2014)","(58, 2013)","(102, 2013)","(40, 2012)","(104, 2013)","(58, 2014)"
746,"(102, 2016)","(58, 2017)","(25, 2014)","(25, 2017)","(0, 2012)","(4, 2014)","(0, 2015)","(102, 2013)","(4, 2015)","(8, 2013)"
747,"(102, 2012)","(25, 2013)","(102, 2016)","(0, 2012)","(58, 2016)","(19, 2017)","(19, 2015)","(19, 2015)","(40, 2012)","(40, 2012)"
748,"(0, 2017)","(58, 2014)","(58, 2013)","(8, 2017)","(4, 2012)","(40, 2014)","(4, 2014)","(4, 2014)","(4, 2014)","(4, 2014)"
749,"(25, 2014)","(104, 2012)","(0, 2013)","(25, 2017)","(40, 2015)","(19, 2013)","(40, 2012)","(8, 2017)","(40, 2016)","(4, 2014)"
750,"(4, 2014)","(58, 2015)","(40, 2012)","(25, 2013)","(40, 2012)","(58, 2012)","(104, 2015)","(4, 2015)","(0, 2016)","(25, 2016)"
751,"(19, 2014)","(58, 2015)","(8, 2015)","(0, 2015)","(4, 2013)","(40, 2016)","(102, 2017)","(4, 2017)","(25, 2014)","(104, 2014)"
752,"(102, 2013)","(58, 2017)","(19, 2016)","(4, 2016)","(58, 2016)","(8, 2015)","(104, 2016)","(25, 2015)","(58, 2015)","(102, 2017)"
753,"(19, 2016)","(4, 2016)","(58, 2016)","(8, 2013)","(40, 2012)","(8, 2014)","(104, 2012)","(40, 2015)","(19, 2015)","(102, 2016)"
754,"(102, 2014)","(104, 2017)","(8, 2016)","(0, 2014)","(25, 2016)","(0, 2014)","(0, 2015)","(4, 2014)","(25, 2013)","(58, 2017)"
755,"(0, 2015)","(104, 2017)","(58, 2017)","(102, 2012)","(104, 2015)","(58, 2015)","(8, 2017)","(104, 2017)","(102, 2016)","(25, 2013)"
756,"(102, 2015)","(104, 2012)","(0, 2016)","(40, 2015)","(58, 2015)","(40, 2013)","(8, 2013)","(102, 2015)","(58, 2017)","(102, 2015)"
757,"(4, 2016)","(102, 2015)","(40, 2013)","(0, 2014)","(58, 2014)","(58, 2017)","(102, 2016)","(4, 2017)","(104, 2017)","(19, 2017)"
758,"(25, 2014)","(104, 2014)","(102, 2012)","(102, 2014)","(4, 2015)","(19, 2015)","(58, 2016)","(19, 2014)","(4, 2014)","(25, 2012)"
759,"(4, 2016)","(8, 2014)","(0, 2015)","(4, 2012)","(4, 2012)","(8, 2015)","(0, 2016)","(25, 2013)","(104, 2012)","(25, 2015)"
760,"(8, 2013)","(58, 2016)","(102, 2014)","(19, 2014)","(58, 2013)","(19, 2014)","(25, 2014)","(0, 2016)","(0, 2016)","(19, 2017)"
761,"(0, 2014)","(102, 2017)","(40, 2014)","(4, 2016)","(8, 2015)","(4, 2012)","(4, 2013)","(4, 2014)","(25, 2012)","(4, 2013)"
762,"(4, 2015)","(102, 2012)","(0, 2016)","(40, 2012)","(4, 2013)","(19, 2013)","(25, 2014)","(25, 2016)","(8, 2012)","(8, 2016)"
763,"(40, 2017)","(25, 2014)","(40, 2013)","(40, 2017)","(19, 2017)","(58, 2014)","(0, 2012)","(102, 2012)","(8, 2017)","(25, 2015)"
764,"(4, 2014)","(0, 2014)","(104, 2013)","(104, 2015)","(0, 2017)","(102, 2015)","(40, 2015)","(4, 2013)","(102, 2012)","(40, 2016)"
765,"(104, 2017)","(25, 2016)","(0, 2013)","(104, 2014)","(8, 2014)","(19, 2013)","(8, 2015)","(104, 2015)","(104, 2013)","(0, 2012)"
766,"(102, 2015)","(0, 2013)","(0, 2014)","(19, 2013)","(58, 2013)","(40, 2016)","(0, 2016)","(4, 2014)","(25, 2017)","(40, 2017)"
767,"(19, 2017)","(104, 2012)","(25, 2014)","(104, 2012)","(19, 2016)","(58, 2017)","(0, 2012)","(58, 2014)","(104, 2013)","(102, 2014)"
768,"(102, 2016)","(8, 2013)","(19, 2014)","(40, 2015)","(58, 2016)","(104, 2014)","(104, 2012)","(102, 2014)","(58, 2016)","(40, 2017)"
769,"(4, 2014)","(25, 2017)","(40, 2017)","(40, 2012)","(58, 2013)","(102, 2014)","(19, 2016)","(25, 2014)","(19, 2016)","(102, 2016)"
770,"(58, 2017)","(40, 2014)","(19, 2015)","(8, 2012)","(4, 2012)","(40, 2015)","(40, 2016)","(0, 2013)","(25, 2012)","(58, 2014)"
771,"(102, 2015)","(104, 2014)","(4, 2013)","(104, 2014)","(58, 2014)","(0, 2015)","(104, 2015)","(25, 2014)","(58, 2017)","(4, 2012)"
772,"(25, 2016)","(40, 2017)","(19, 2016)","(0, 2017)","(58, 2013)","(58, 2013)","(58, 2017)","(19, 2017)","(104, 2015)","(25, 2016)"
773,"(4, 2012)","(25, 2017)","(0, 2012)","(40, 2012)","(8, 2016)","(25, 2013)","(19, 2015)","(19, 2016)","(40, 2014)","(19, 2013)"
774,"(0, 2016)","(8, 2015)","(102, 2015)","(104, 2013)","(8, 2017)","(25, 2017)","(8, 2017)","(102, 2012)","(8, 2015)","(102, 2016)"
775,"(25, 2015)","(4, 2013)","(25, 2016)","(40, 2016)","(4, 2014)","(104, 2012)","(4, 2012)","(104, 2012)","(104, 2012)","(0, 2017)"
776,"(102, 2015)","(25, 2017)","(0, 2015)","(19, 2015)","(58, 2016)","(102, 2013)","(8, 2012)","(8, 2017)","(102, 2012)","(40, 2014)"
777,"(40, 2016)","(4, 2017)","(40, 2016)","(8, 2014)","(58, 2015)","(19, 2014)","(25, 2014)","(104, 2014)","(104, 2012)","(0, 2017)"
778,"(19, 2016)","(102, 2015)","(8, 2013)","(40, 2014)","(102, 2012)","(104, 2015)","(0, 2015)","(58, 2017)","(4, 2017)","(40, 2016)"
779,"(4, 2013)","(104, 2017)","(25, 2014)","(4, 2016)","(25, 2013)","(4, 2016)","(40, 2017)","(19, 2016)","(4, 2014)","(58, 2014)"
780,"(8, 2015)","(102, 2015)","(8, 2013)","(58, 2014)","(40, 2014)","(58, 2014)","(40, 2017)","(40, 2013)","(19, 2013)","(0, 2014)"
781,"(8, 2012)","(25, 2017)","(25, 2015)","(4, 2015)","(102, 2014)","(58, 2015)","(102, 2013)","(8, 2017)","(19, 2012)","(102, 2017)"
782,"(4, 2013)","(58, 2012)","(19, 2012)","(102, 2016)","(40, 2014)","(0, 2012)","(58, 2014)","(8, 2012)","(102, 2012)","(102, 2015)"
783,"(19, 2012)","(19, 2016)","(104, 2014)","(25, 2015)","(8, 2016)","(58, 2015)","(40, 2013)","(4, 2013)","(25, 2017)","(19, 2016)"
784,"(8, 2013)","(25, 2014)","(25, 2012)","(25, 2014)","(19, 2013)","(40, 2015)","(58, 2013)","(58, 2014)","(8, 2015)","(40, 2015)"
785,"(58, 2016)","(58, 2013)","(102, 2017)","(104, 2012)","(0, 2015)","(25, 2012)","(19, 2013)","(8, 2015)","(4, 2015)","(40, 2015)"
786,"(40, 2017)","(25, 2015)","(104, 2012)","(0, 2015)","(104, 2015)","(58, 2013)","(25, 2013)","(25, 2012)","(58, 2015)","(40, 2013)"
787,"(8, 2012)","(25, 2016)","(0, 2017)","(8, 2014)","(40, 2013)","(19, 2017)","(58, 2013)","(104, 2017)","(40, 2016)","(4, 2014)"
788,"(102, 2012)","(58, 2015)","(0, 2016)","(0, 2016)","(4, 2015)","(4, 2014)","(40, 2012)","(40, 2014)","(19, 2014)","(104, 2016)"
789,"(8, 2017)","(4, 2012)","(25, 2012)","(104, 2015)","(102, 2014)","(40, 2012)","(0, 2012)","(4, 2013)","(25, 2016)","(104, 2017)"
790,"(19, 2015)","(58, 2012)","(58, 2017)","(0, 2013)","(0, 2014)","(19, 2017)","(0, 2013)","(8, 2014)","(58, 2013)","(4, 2013)"
791,"(8, 2014)","(4, 2012)","(104, 2015)","(25, 2017)","(40, 2015)","(4, 2015)","(25, 2015)","(8, 2015)","(102, 2015)","(58, 2015)"
792,"(8, 2015)","(104, 2015)","(4, 2014)","(4, 2013)","(19, 2013)","(19, 2013)","(8, 2016)","(40, 2016)","(19, 2012)","(102, 2013)"
793,"(102, 2012)","(40, 2014)","(8, 2015)","(58, 2013)","(104, 2012)","(104, 2014)","(19, 2016)","(104, 2012)","(19, 2013)","(4, 2015)"
794,"(19, 2015)","(102, 2014)","(0, 2017)","(4, 2015)","(8, 2016)","(102, 2017)","(104, 2017)","(0, 2014)","(102, 2014)","(40, 2016)"
795,"(58, 2012)","(104, 2017)","(104, 2015)","(102, 2015)","(19, 2014)","(25, 2015)","(40, 2013)","(4, 2017)","(40, 2015)","(40, 2013)"
796,"(4, 2017)","(102, 2017)","(0, 2014)","(19, 2017)","(4, 2014)","(58, 2014)","(4, 2017)","(102, 2014)","(25, 2013)","(104, 2014)"
797,"(25, 2013)","(4, 2012)","(8, 2013)","(40, 2015)","(40, 2012)","(40, 2016)","(4, 2012)","(19, 2012)","(25, 2017)","(104, 2012)"
798,"(40, 2015)","(19, 2015)","(104, 2015)","(19, 2013)","(0, 2013)","(8, 2017)","(102, 2016)","(25, 2017)","(58, 2014)","(102, 2013)"
799,"(19, 2016)","(40, 2013)","(25, 2012)","(102, 2012)","(104, 2015)","(40, 2016)","(4, 2015)","(25, 2013)","(4, 2013)","(8, 2014)"
800,"(0, 2016)","(102, 2012)","(19, 2012)","(4, 2016)","(104, 2015)","(4, 2013)","(102, 2013)","(102, 2015)","(102, 2017)","(25, 2013)"
801,"(104, 2012)","(8, 2017)","(104, 2012)","(102, 2017)","(19, 2012)","(8, 2012)","(102, 2017)","(102, 2013)","(25, 2017)","(19, 2017)"
802,"(40, 2017)","(19, 2013)","(0, 2014)","(19, 2017)","(102, 2016)","(104, 2017)","(25, 2017)","(102, 2012)","(8, 2014)","(40, 2014)"
803,"(104, 2012)","(102, 2012)","(58, 2014)","(8, 2015)","(102, 2014)","(19, 2012)","(102, 2014)","(102, 2012)","(19, 2017)","(25, 2016)"
804,"(102, 2017)","(8, 2016)","(0, 2017)","(25, 2017)","(4, 2014)","(19, 2013)","(102, 2016)","(58, 2014)","(8, 2015)","(25, 2012)"
805,"(25, 2015)","(25, 2014)","(4, 2015)","(102, 2017)","(25, 2012)","(25, 2013)","(104, 2015)","(40, 2013)","(8, 2012)","(40, 2013)"
806,"(4, 2017)","(40, 2017)","(19, 2013)","(0, 2013)","(58, 2012)","(0, 2017)","(104, 2015)","(8, 2014)","(8, 2013)","(0, 2014)"
807,"(0, 2017)","(25, 2016)","(19, 2017)","(104, 2015)","(102, 2016)","(8, 2013)","(102, 2014)","(4, 2016)","(102, 2015)","(4, 2014)"
808,"(102, 2012)","(25, 2015)","(19, 2015)","(4, 2013)","(8, 2016)","(0, 2017)","(4, 2015)","(104, 2016)","(4, 2017)","(25, 2015)"
809,"(40, 2017)","(4, 2012)","(104, 2013)","(8, 2015)","(0, 2015)","(19, 2017)","(104, 2016)","(40, 2013)","(0, 2012)","(58, 2013)"
810,"(40, 2013)","(25, 2014)","(4, 2015)","(4, 2016)","(58, 2015)","(8, 2015)","(8, 2015)","(4, 2015)","(8, 2014)","(58, 2015)"
811,"(40, 2014)","(8, 2016)","(40, 2016)","(0, 2016)","(102, 2016)","(4, 2015)","(0, 2014)","(58, 2016)","(58, 2016)","(4, 2012)"
812,"(58, 2014)","(25, 2017)","(58, 2012)","(0, 2013)","(25, 2013)","(8, 2015)","(8, 2017)","(25, 2016)","(102, 2014)","(40, 2014)"
813,"(104, 2012)","(19, 2014)","(25, 2016)","(4, 2017)","(102, 2017)","(19, 2017)","(102, 2014)","(0, 2013)","(0, 2014)","(0, 2012)"
814,"(19, 2013)","(104, 2013)","(40, 2013)","(0, 2017)","(19, 2012)","(25, 2014)","(0, 2014)","(0, 2013)","(8, 2012)","(102, 2013)"
815,"(40, 2013)","(19, 2017)","(58, 2012)","(8, 2017)","(8, 2017)","(40, 2013)","(102, 2016)","(8, 2014)","(0, 2016)","(4, 2012)"
816,"(0, 2013)","(4, 2014)","(102, 2012)","(40, 2014)","(4, 2016)","(40, 2014)","(40, 2016)","(40, 2014)","(4, 2013)","(58, 2014)"
817,"(8, 2016)","(8, 2015)","(25, 2015)","(25, 2013)","(104, 2014)","(102, 2012)","(19, 2013)","(25, 2014)","(104, 2013)","(102, 2014)"
818,"(19, 2015)","(25, 2017)","(104, 2014)","(58, 2017)","(19, 2012)","(58, 2013)","(40, 2013)","(4, 2017)","(58, 2017)","(58, 2016)"
819,"(102, 2014)","(0, 2013)","(104, 2014)","(104, 2015)","(25, 2016)","(8, 2012)","(58, 2016)","(8, 2013)","(8, 2015)","(102, 2013)"
820,"(102, 2015)","(19, 2013)","(58, 2017)","(58, 2015)","(25, 2017)","(0, 2014)","(4, 2017)","(19, 2012)","(4, 2013)","(104, 2012)"
821,"(102, 2013)","(0, 2014)","(58, 2012)","(8, 2017)","(102, 2017)","(4, 2017)","(104, 2017)","(8, 2017)","(58, 2012)","(104, 2016)"
822,"(4, 2015)","(0, 2012)","(102, 2015)","(19, 2012)","(40, 2017)","(58, 2012)","(104, 2012)","(19, 2016)","(19, 2015)","(19, 2015)"
823,"(25, 2017)","(104, 2015)","(40, 2014)","(19, 2012)","(58, 2016)","(19, 2012)","(102, 2016)","(4, 2016)","(19, 2013)","(0, 2017)"
824,"(25, 2017)","(104, 2017)","(8, 2014)","(25, 2013)","(4, 2017)","(19, 2014)","(0, 2015)","(8, 2016)","(58, 2015)","(104, 2015)"
825,"(8, 2017)","(0, 2017)","(102, 2016)","(102, 2013)","(19, 2017)","(102, 2016)","(58, 2014)","(8, 2016)","(40, 2016)","(40, 2015)"
826,"(102, 2012)","(102, 2016)","(8, 2013)","(102, 2017)","(104, 2015)","(4, 2014)","(19, 2016)","(104, 2017)","(0, 2017)","(4, 2015)"
827,"(4, 2017)","(102, 2015)","(0, 2016)","(104, 2013)","(102, 2014)","(40, 2015)","(104, 2015)","(8, 2014)","(25, 2014)","(4, 2017)"
828,"(104, 2014)","(40, 2016)","(25, 2013)","(8, 2013)","(8, 2013)","(58, 2013)","(25, 2015)","(25, 2015)","(8, 2014)","(19, 2017)"
