Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,BM0,BM1,BM2,BM3,BM4,BM5
64,"(25, 2014, 120.4, 299.7)","(0, 2016, 94.1, 324.0)","(104, 2013, 135.9, 239.5)","(19, 2013, 86.3, 361.6)","(40, 2013, 103.1, 387.7)","(40, 2014, 84.3, 352.4)","(25, -1, 107.2, 308.4)","(0, -1, 98.5, 320.4)","(104, -1, 154.2, 224.2)","(19, -1, 94.6, 393.8)","(40, -1, 104.9, 411.8)","(40, -1, 79.2, 342.4)"
65,"(4, 2013, 93.7, 293.3)","(102, 2012, 101.0, 327.4)","(104, 2016, 112.4, 363.6)","(58, 2012, 118.0, 242.5)","(25, 2016, 87.2, 349.9)","(102, 2012, 107.0, 273.6)","(4, -1, 76.5, 299.2)","(102, -1, 102.0, 346.7)","(104, -1, 100.5, 389.8)","(58, -1, 97.4, 262.3)","(25, -1, 99.3, 312.6)","(102, -1, 107.1, 291.4)"
66,"(19, 2012, 158.2, 261.8)","(40, 2015, 143.3, 318.5)","(19, 2017, 96.6, 366.8)","(58, 2014, 123.5, 251.4)","(25, 2012, 144.5, 264.0)","(102, 2014, 151.6, 372.2)","(19, -1, 163.4, 284.1)","(40, -1, 140.0, 345.9)","(19, -1, 92.4, 364.3)","(58, -1, 118.6, 259.7)","(25, -1, 133.2, 272.6)","(102, -1, 169.2, 367.7)"
67,"(19, 2014, 129.4, 214.1)","(0, 2017, 101.6, 270.5)","(40, 2015, 108.4, 395.9)","(19, 2012, 93.1, 264.4)","(102, 2012, 77.4, 248.7)","(40, 2017, 101.8, 390.6)","(19, -1, 119.2, 233.7)","(0, -1, 88.2, 277.0)","(40, -1, 114.1, 355.0)","(19, -1, 88.4, 253.6)","(102, -1, 65.0, 261.1)","(40, -1, 108.3, 382.7)"
68,"(40, 2013, 142.9, 248.6)","(104, 2017, 99.9, 261.2)","(0, 2014, 88.5, 333.4)","(104, 2015, 122.3, 225.5)","(19, 2014, 61.0, 296.5)","(58, 2012, 130.0, 228.5)","(40, -1, 127.0, 229.9)","(104, -1, 110.2, 259.2)","(0, -1, 88.7, 347.2)","(104, -1, 115.8, 202.0)","(19, -1, 56.7, 296.5)","(58, -1, 144.5, 255.5)"
69,"(19, 2013, 66.1, 323.1)","(8, 2012, 105.4, 351.0)","(102, 2016, 115.1, 299.2)","(0, 2013, 87.9, 370.6)","(19, 2015, 110.7, 263.9)","(0, 2015, 109.0, 316.0)","(19, -1, 68.2, 333.6)","(8, -1, 110.0, 352.2)","(102, -1, 116.3, 342.1)","(0, -1, 96.7, 443.3)","(19, -1, 93.3, 270.9)","(0, -1, 118.9, 380.1)"
70,"(19, 2014, 152.4, 289.7)","(58, 2014, 93.0, 261.1)","(4, 2013, 59.5, 267.7)","(8, 2012, 93.2, 258.0)","(25, 2013, 125.1, 237.4)","(4, 2016, 117.5, 390.3)","(19, -1, 149.5, 311.8)","(58, -1, 93.7, 274.0)","(4, -1, 58.5, 297.2)","(8, -1, 81.1, 232.6)","(25, -1, 127.1, 255.6)","(4, -1, 128.7, 363.9)"
71,"(19, 2017, 104.3, 268.2)","(8, 2013, 95.6, 394.3)","(25, 2017, 119.5, 323.3)","(102, 2013, 121.6, 241.7)","(25, 2017, 74.9, 214.0)","(25, 2016, 115.8, 340.1)","(19, -1, 113.1, 265.7)","(8, -1, 105.4, 351.7)","(25, -1, 129.4, 353.9)","(102, -1, 124.2, 255.5)","(25, -1, 66.2, 228.0)","(25, -1, 123.0, 350.2)"
72,"(4, 2012, 80.9, 345.0)","(8, 2016, 107.7, 279.2)","(102, 2013, 91.8, 319.6)","(8, 2014, 109.9, 371.9)","(19, 2015, 122.0, 377.5)","(102, 2012, 96.7, 245.0)","(4, -1, 87.3, 401.9)","(8, -1, 95.4, 267.5)","(102, -1, 90.4, 344.4)","(8, -1, 112.2, 435.7)","(19, -1, 121.1, 360.4)","(102, -1, 111.9, 277.7)"
73,"(58, 2012, 177.4, 247.3)","(58, 2016, 64.6, 319.6)","(8, 2014, 108.3, 343.6)","(19, 2013, 128.8, 239.3)","(58, 2014, 96.8, 200.2)","(0, 2016, 82.6, 244.0)","(58, -1, 166.1, 232.3)","(58, -1, 68.5, 331.3)","(8, -1, 111.3, 338.2)","(19, -1, 141.3, 226.7)","(58, -1, 110.3, 221.9)","(0, -1, 74.9, 244.4)"
74,"(104, 2012, 102.9, 389.9)","(0, 2013, 99.3, 288.4)","(102, 2016, 56.8, 386.0)","(58, 2015, 158.3, 390.7)","(40, 2015, 141.4, 326.5)","(58, 2015, 55.9, 212.4)","(104, -1, 92.0, 403.2)","(0, -1, 106.2, 278.1)","(102, -1, 56.9, 400.2)","(58, -1, 167.3, 386.9)","(40, -1, 113.7, 339.7)","(58, -1, 51.6, 190.5)"
75,"(40, 2017, 51.5, 227.2)","(8, 2012, 70.2, 273.9)","(102, 2012, 99.9, 352.8)","(4, 2014, 110.6, 290.7)","(8, 2014, 100.9, 209.5)","(8, 2015, 138.0, 305.0)","(40, -1, 53.4, 204.7)","(8, -1, 75.8, 287.5)","(102, -1, 99.4, 327.0)","(4, -1, 111.4, 278.5)","(8, -1, 108.4, 220.8)","(8, -1, 141.6, 331.9)"
76,"(40, 2016, 95.6, 202.6)","(58, 2015, 105.6, 383.0)","(25, 2013, 118.2, 335.0)","(8, 2013, 102.9, 387.6)","(8, 2015, 64.6, 311.3)","(4, 2016, 107.9, 276.9)","(40, -1, 80.3, 200.9)","(58, -1, 109.3, 407.7)","(25, -1, 109.3, 335.6)","(8, -1, 89.3, 342.1)","(8, -1, 67.9, 292.0)","(4, -1, 115.2, 281.8)"
77,"(0, 2014, 122.0, 359.2)","(0, 2015, 71.1, 286.1)","(8, 2016, 113.9, 387.0)","(104, 2016, 137.5, 348.4)","(19, 2013, 78.7, 217.8)","(0, 2014, 85.2, 354.8)","(0, -1, 132.3, 350.5)","(0, -1, 83.8, 284.8)","(8, -1, 119.6, 404.3)","(104, -1, 146.1, 356.8)","(19, -1, 78.5, 241.2)","(0, -1, 85.9, 308.0)"
78,"(104, 2016, 70.2, 360.8)","(104, 2015, 117.0, 206.7)","(4, 2017, 99.2, 208.6)","(0, 2017, 99.3, 225.4)","(40, 2016, 122.2, 352.4)","(104, 2015, 125.0, 396.8)","(104, -1, 69.4, 362.2)","(104, -1, 105.4, 217.2)","(4, -1, 113.1, 189.2)","(0, -1, 104.6, 208.9)","(40, -1, 123.3, 399.6)","(104, -1, 140.3, 410.9)"
79,"(8, 2016, 96.4, 364.1)","(19, 2013, 106.4, 345.2)","(40, 2014, 119.1, 287.5)","(19, 2016, 104.1, 332.3)","(104, 2016, 93.8, 258.5)","(58, 2013, 62.5, 300.8)","(8, -1, 90.2, 393.4)","(19, -1, 112.9, 342.8)","(40, -1, 115.6, 309.4)","(19, -1, 96.1, 323.1)","(104, -1, 75.1, 260.8)","(58, -1, 62.5, 308.8)"
80,"(25, 2016, 26.8, 274.3)","(58, 2012, 116.5, 273.3)","(19, 2012, 103.3, 220.4)","(58, 2015, 114.8, 299.0)","(8, 2016, 102.8, 241.9)","(58, 2015, 58.9, 312.1)","(25, -1, 25.7, 272.6)","(58, -1, 112.2, 242.7)","(19, -1, 100.9, 219.6)","(58, -1, 112.7, 284.2)","(8, -1, 127.3, 236.8)","(58, -1, 59.1, 351.9)"
81,"(40, 2016, 138.4, 262.2)","(40, 2013, 153.2, 236.3)","(25, 2014, 73.0, 360.5)","(58, 2014, 92.8, 335.8)","(40, 2015, 42.7, 376.9)","(4, 2012, 79.4, 321.9)","(40, -1, 134.5, 249.8)","(40, -1, 153.4, 230.4)","(25, -1, 71.1, 309.9)","(58, -1, 94.7, 346.9)","(40, -1, 41.1, 350.2)","(4, -1, 70.2, 312.8)"
82,"(19, 2017, 110.2, 234.4)","(19, 2017, 115.4, 287.9)","(104, 2016, 87.0, 364.4)","(40, 2014, 81.7, 395.5)","(40, 2015, 111.5, 342.5)","(58, 2016, 89.3, 228.7)","(19, -1, 128.4, 216.9)","(19, -1, 122.1, 280.2)","(104, -1, 85.2, 347.4)","(40, -1, 80.6, 401.5)","(40, -1, 122.4, 330.6)","(58, -1, 83.4, 239.4)"
83,"(0, 2013, 70.4, 339.5)","(102, 2015, 97.3, 397.5)","(40, 2012, 70.8, 335.9)","(4, 2016, 133.3, 330.6)","(40, 2016, 62.7, 384.2)","(58, 2014, 94.0, 359.5)","(0, -1, 63.0, 333.1)","(102, -1, 92.3, 355.7)","(40, -1, 70.3, 343.8)","(4, -1, 145.6, 327.3)","(40, -1, 69.3, 328.6)","(58, -1, 91.5, 367.3)"
84,"(58, 2014, 68.2, 354.8)","(104, 2017, 73.3, 363.6)","(102, 2015, 117.4, 217.8)","(40, 2017, 109.8, 338.6)","(19, 2012, 131.1, 370.8)","(8, 2017, 91.1, 363.6)","(58, -1, 68.3, 350.7)","(104, -1, 83.8, 343.3)","(102, -1, 99.5, 224.2)","(40, -1, 118.3, 351.3)","(19, -1, 120.8, 386.3)","(8, -1, 85.0, 344.5)"
85,"(19, 2014, 131.6, 229.1)","(8, 2016, 102.5, 263.7)","(40, 2017, 85.5, 302.0)","(25, 2015, 67.6, 254.8)","(4, 2015, 120.5, 248.0)","(40, 2012, 111.6, 360.7)","(19, -1, 142.9, 220.3)","(8, -1, 102.8, 276.4)","(40, -1, 91.8, 309.4)","(25, -1, 72.2, 238.9)","(4, -1, 108.8, 236.0)","(40, -1, 117.7, 318.4)"
86,"(104, 2014, 130.2, 358.7)","(19, 2014, 98.1, 380.3)","(40, 2017, 105.6, 312.3)","(104, 2012, 100.5, 298.9)","(25, 2016, 94.3, 371.9)","(4, 2015, 120.0, 370.3)","(104, -1, 129.0, 370.6)","(19, -1, 100.8, 363.7)","(40, -1, 113.5, 345.3)","(104, -1, 108.7, 320.6)","(25, -1, 94.7, 364.0)","(4, -1, 120.8, 288.4)"
87,"(102, 2012, 106.5, 270.2)","(104, 2013, 100.3, 312.9)","(4, 2012, 76.1, 387.2)","(8, 2015, 115.3, 212.2)","(4, 2016, 91.8, 205.8)","(4, 2013, 86.7, 212.7)","(102, -1, 114.1, 279.6)","(104, -1, 88.5, 320.1)","(4, -1, 77.3, 373.6)","(8, -1, 98.7, 198.3)","(4, -1, 83.2, 200.9)","(4, -1, 92.3, 233.7)"
88,"(102, 2013, 109.0, 256.2)","(40, 2017, 141.8, 368.5)","(0, 2013, 135.6, 291.4)","(25, 2015, 85.8, 256.3)","(4, 2017, 81.9, 348.5)","(4, 2017, 114.1, 334.8)","(102, -1, 136.9, 278.7)","(40, -1, 134.9, 368.9)","(0, -1, 128.0, 274.5)","(25, -1, 88.4, 287.4)","(4, -1, 80.9, 329.2)","(4, -1, 112.2, 340.0)"
89,"(58, 2012, 89.1, 203.7)","(58, 2017, 97.4, 219.7)","(0, 2017, 42.0, 255.4)","(8, 2014, 94.6, 366.6)","(19, 2017, 113.6, 390.1)","(102, 2015, 86.6, 303.1)","(58, -1, 99.0, 189.1)","(58, -1, 102.8, 232.9)","(0, -1, 47.1, 247.4)","(8, -1, 97.5, 402.6)","(19, -1, 130.3, 388.5)","(102, -1, 73.4, 326.7)"
90,"(8, 2015, 90.5, 238.8)","(25, 2017, 106.6, 312.5)","(0, 2015, 96.4, 206.5)","(58, 2014, 109.8, 316.7)","(8, 2017, 96.4, 269.5)","(25, 2015, 99.6, 305.9)","(8, -1, 86.5, 253.3)","(25, -1, 104.6, 336.8)","(0, -1, 100.4, 216.1)","(58, -1, 109.7, 315.8)","(8, -1, 82.6, 271.6)","(25, -1, 129.5, 288.3)"
91,"(102, 2014, 86.5, 348.1)","(19, 2013, 122.9, 239.3)","(0, 2012, 119.2, 386.1)","(40, 2015, 102.5, 255.7)","(25, 2014, 120.2, 321.2)","(0, 2013, 100.0, 314.7)","(102, -1, 103.3, 368.4)","(19, -1, 116.4, 208.4)","(0, -1, 128.3, 357.3)","(40, -1, 100.8, 246.9)","(25, -1, 114.3, 295.3)","(0, -1, 89.9, 326.3)"
92,"(8, 2016, 94.3, 256.8)","(19, 2012, 132.0, 214.1)","(4, 2017, 98.2, 329.2)","(102, 2016, 126.7, 382.9)","(4, 2012, 119.8, 271.3)","(19, 2015, 108.5, 315.7)","(8, -1, 91.2, 266.6)","(19, -1, 134.9, 175.9)","(4, -1, 118.4, 337.2)","(102, -1, 139.9, 412.5)","(4, -1, 108.8, 249.0)","(19, -1, 110.0, 340.6)"
93,"(25, 2017, 115.8, 244.9)","(4, 2014, 92.2, 313.0)","(102, 2012, 109.1, 252.5)","(25, 2015, 108.1, 392.4)","(0, 2013, 96.7, 219.0)","(8, 2015, 107.6, 269.1)","(25, -1, 98.7, 285.5)","(4, -1, 94.1, 305.9)","(102, -1, 102.2, 258.7)","(25, -1, 113.1, 392.0)","(0, -1, 108.7, 220.2)","(8, -1, 93.7, 275.6)"
94,"(102, 2017, 58.5, 251.7)","(25, 2016, 104.5, 277.5)","(0, 2017, 92.1, 305.4)","(8, 2012, 74.8, 284.2)","(58, 2014, 81.3, 331.1)","(8, 2016, 57.1, 357.8)","(102, -1, 55.7, 286.6)","(25, -1, 104.0, 275.6)","(0, -1, 79.4, 301.4)","(8, -1, 77.5, 242.1)","(58, -1, 79.7, 351.5)","(8, -1, 50.3, 394.6)"
95,"(25, 2013, 96.1, 235.2)","(40, 2015, 121.5, 203.6)","(25, 2012, 75.1, 387.8)","(25, 2013, 71.0, 272.6)","(104, 2014, 132.9, 318.5)","(4, 2016, 59.4, 231.6)","(25, -1, 92.4, 258.2)","(40, -1, 116.6, 211.6)","(25, -1, 68.8, 334.0)","(25, -1, 69.3, 226.2)","(104, -1, 125.9, 337.0)","(4, -1, 54.2, 235.4)"
96,"(40, 2012, 104.5, 354.2)","(102, 2013, 117.1, 286.1)","(0, 2014, 101.5, 333.9)","(4, 2015, 84.9, 316.0)","(19, 2014, 126.2, 359.2)","(8, 2016, 43.6, 226.2)","(40, -1, 81.1, 390.1)","(102, -1, 115.7, 273.3)","(0, -1, 92.3, 329.2)","(4, -1, 86.3, 334.4)","(19, -1, 124.6, 327.9)","(8, -1, 41.6, 234.9)"
97,"(104, 2013, 98.5, 322.6)","(8, 2014, 97.2, 384.8)","(25, 2012, 102.1, 232.7)","(104, 2016, 80.8, 315.4)","(8, 2012, 68.6, 392.0)","(104, 2014, 62.7, 221.5)","(104, -1, 96.7, 266.7)","(8, -1, 81.8, 350.3)","(25, -1, 109.8, 235.8)","(104, -1, 78.0, 321.8)","(8, -1, 65.2, 387.0)","(104, -1, 59.6, 211.6)"
98,"(102, 2014, 103.2, 208.7)","(104, 2016, 102.3, 238.0)","(8, 2016, 87.0, 204.4)","(19, 2015, 80.4, 314.0)","(19, 2014, 74.9, 336.5)","(58, 2017, 98.2, 201.1)","(102, -1, 105.6, 208.7)","(104, -1, 93.9, 248.9)","(8, -1, 79.4, 198.8)","(19, -1, 67.0, 261.9)","(19, -1, 85.1, 321.1)","(58, -1, 111.8, 214.5)"
99,"(0, 2017, 61.6, 289.7)","(19, 2014, 78.0, 274.4)","(58, 2012, 77.4, 353.8)","(19, 2017, 117.6, 356.6)","(58, 2015, 130.0, 347.2)","(19, 2012, 145.9, 200.3)","(0, -1, 60.8, 272.9)","(19, -1, 83.0, 278.5)","(58, -1, 64.6, 365.0)","(19, -1, 127.8, 334.3)","(58, -1, 121.3, 348.5)","(19, -1, 158.5, 229.7)"
100,"(8, 2014, 133.2, 237.6)","(8, 2012, 95.7, 202.0)","(8, 2013, 96.9, 398.1)","(58, 2016, 61.8, 387.0)","(25, 2012, 54.7, 303.8)","(58, 2012, 109.9, 244.9)","(8, -1, 120.1, 208.5)","(8, -1, 105.2, 204.2)","(8, -1, 84.7, 409.0)","(58, -1, 63.1, 414.6)","(25, -1, 46.5, 278.6)","(58, -1, 103.8, 226.6)"
101,"(0, 2014, 143.7, 319.2)","(25, 2017, 143.1, 247.8)","(8, 2015, 66.8, 285.1)","(4, 2017, 104.8, 370.0)","(58, 2012, 78.6, 301.5)","(4, 2013, 103.6, 370.9)","(0, -1, 113.2, 283.6)","(25, -1, 105.8, 242.4)","(8, -1, 72.2, 283.5)","(4, -1, 107.0, 393.2)","(58, -1, 85.4, 301.0)","(4, -1, 92.6, 312.9)"
102,"(102, 2014, 91.7, 373.7)","(40, 2015, 103.4, 310.1)","(58, 2012, 85.0, 368.8)","(4, 2016, 77.4, 288.1)","(58, 2016, 121.1, 375.9)","(58, 2016, 85.0, 230.1)","(102, -1, 75.5, 387.6)","(40, -1, 105.2, 301.2)","(58, -1, 73.9, 400.9)","(4, -1, 84.0, 280.9)","(58, -1, 120.3, 347.6)","(58, -1, 91.9, 210.1)"
103,"(58, 2014, 90.1, 278.5)","(58, 2016, 95.1, 384.6)","(8, 2015, 68.6, 238.8)","(40, 2014, 89.0, 351.1)","(8, 2013, 83.2, 279.5)","(8, 2013, 85.9, 357.6)","(58, -1, 82.9, 331.3)","(58, -1, 92.9, 375.4)","(8, -1, 67.2, 245.8)","(40, -1, 87.5, 353.8)","(8, -1, 75.1, 309.5)","(8, -1, 82.1, 357.2)"
104,"(19, 2016, 101.2, 262.0)","(8, 2017, 52.3, 297.7)","(19, 2014, 111.5, 218.9)","(104, 2016, 87.6, 307.1)","(40, 2016, 113.3, 246.3)","(25, 2017, 106.9, 237.9)","(19, -1, 103.1, 251.3)","(8, -1, 53.6, 295.3)","(19, -1, 117.6, 206.8)","(104, -1, 83.7, 285.8)","(40, -1, 119.2, 247.7)","(25, -1, 110.4, 239.6)"
105,"(40, 2013, 126.7, 246.8)","(4, 2017, 95.3, 351.0)","(40, 2013, 73.2, 298.2)","(104, 2014, 123.4, 226.8)","(8, 2016, 127.7, 295.9)","(40, 2014, 91.0, 387.0)","(40, -1, 123.2, 239.9)","(4, -1, 94.1, 323.0)","(40, -1, 70.6, 291.6)","(104, -1, 108.1, 240.5)","(8, -1, 122.4, 315.1)","(40, -1, 86.3, 417.8)"
106,"(58, 2015, 84.9, 380.8)","(25, 2015, 118.3, 227.9)","(0, 2017, 92.8, 298.3)","(104, 2012, 123.0, 299.3)","(40, 2013, 129.8, 350.4)","(40, 2014, 103.6, 307.4)","(58, -1, 76.3, 367.3)","(25, -1, 119.3, 211.3)","(0, -1, 102.2, 288.4)","(104, -1, 132.0, 288.3)","(40, -1, 118.6, 339.2)","(40, -1, 94.2, 300.0)"
107,"(40, 2016, 124.8, 220.6)","(4, 2012, 125.6, 394.0)","(0, 2015, 119.5, 382.9)","(0, 2016, 62.1, 310.7)","(0, 2012, 97.0, 262.8)","(0, 2012, 93.4, 269.9)","(40, -1, 122.7, 199.6)","(4, -1, 120.2, 373.8)","(0, -1, 129.9, 352.9)","(0, -1, 63.4, 332.3)","(0, -1, 114.1, 282.6)","(0, -1, 79.9, 230.6)"
108,"(0, 2015, 88.0, 338.9)","(102, 2017, 68.6, 212.9)","(58, 2016, 77.8, 217.2)","(19, 2016, 122.1, 374.6)","(40, 2012, 109.2, 291.2)","(25, 2017, 91.4, 247.8)","(0, -1, 91.0, 335.8)","(102, -1, 70.8, 212.3)","(58, -1, 67.0, 199.6)","(19, -1, 109.5, 398.3)","(40, -1, 115.7, 255.6)","(25, -1, 94.5, 256.5)"
109,"(19, 2017, 97.3, 309.2)","(25, 2013, 120.9, 208.5)","(40, 2013, 79.7, 320.7)","(4, 2013, 79.1, 324.4)","(19, 2012, 132.9, 388.5)","(58, 2013, 90.9, 273.7)","(19, -1, 90.0, 312.2)","(25, -1, 128.0, 188.1)","(40, -1, 85.1, 337.9)","(4, -1, 86.4, 313.7)","(19, -1, 119.7, 340.3)","(58, -1, 97.8, 258.2)"
110,"(102, 2015, 149.8, 343.6)","(25, 2012, 139.6, 202.0)","(0, 2017, 47.4, 226.8)","(0, 2013, 36.2, 351.7)","(102, 2014, 68.9, 365.2)","(19, 2016, 105.0, 366.4)","(102, -1, 145.6, 322.8)","(25, -1, 146.0, 228.4)","(0, -1, 42.4, 241.2)","(0, -1, 30.1, 324.5)","(102, -1, 84.7, 383.0)","(19, -1, 107.0, 383.2)"
111,"(19, 2012, 92.4, 358.3)","(0, 2016, 70.1, 353.7)","(0, 2016, 60.6, 207.4)","(25, 2013, 121.2, 229.0)","(25, 2014, 108.2, 280.5)","(40, 2013, 100.0, 338.6)","(19, -1, 88.1, 352.7)","(0, -1, 58.1, 399.5)","(0, -1, 60.2, 200.7)","(25, -1, 109.4, 212.2)","(25, -1, 118.0, 280.9)","(40, -1, 89.7, 317.0)"
112,"(104, 2017, 99.1, 369.2)","(104, 2014, 87.8, 342.6)","(0, 2014, 148.3, 226.6)","(4, 2017, 93.4, 398.1)","(40, 2016, 120.6, 240.0)","(58, 2016, 83.9, 333.8)","(104, -1, 106.1, 361.6)","(104, -1, 65.0, 373.0)","(0, -1, 162.2, 213.8)","(4, -1, 93.0, 436.7)","(40, -1, 119.6, 232.2)","(58, -1, 102.2, 321.8)"
113,"(4, 2014, 79.3, 211.5)","(25, 2017, 94.9, 286.4)","(0, 2014, 93.6, 346.1)","(25, 2014, 101.8, 218.1)","(102, 2016, 124.9, 386.4)","(102, 2017, 106.5, 261.8)","(4, -1, 85.7, 209.3)","(25, -1, 93.4, 311.4)","(0, -1, 81.6, 310.8)","(25, -1, 76.0, 198.1)","(102, -1, 112.6, 401.1)","(102, -1, 102.6, 254.9)"
114,"(102, 2017, 123.1, 243.5)","(58, 2015, 136.9, 218.4)","(8, 2015, 53.0, 321.9)","(58, 2017, 80.4, 223.6)","(0, 2012, 64.9, 370.9)","(8, 2015, 63.6, 344.3)","(102, -1, 141.2, 199.9)","(58, -1, 101.2, 212.6)","(8, -1, 53.7, 323.8)","(58, -1, 89.5, 215.7)","(0, -1, 62.9, 345.5)","(8, -1, 65.5, 324.9)"
115,"(102, 2013, 71.2, 216.4)","(102, 2016, 102.4, 399.4)","(8, 2015, 107.3, 385.9)","(58, 2014, 122.2, 399.1)","(4, 2014, 102.8, 222.8)","(19, 2013, 99.3, 243.6)","(102, -1, 64.1, 222.7)","(102, -1, 106.3, 455.2)","(8, -1, 98.1, 388.7)","(58, -1, 123.7, 382.5)","(4, -1, 111.9, 209.1)","(19, -1, 132.3, 243.8)"
116,"(102, 2012, 107.0, 300.0)","(0, 2014, 124.3, 315.8)","(40, 2017, 64.2, 237.1)","(25, 2015, 64.9, 390.2)","(40, 2017, 95.1, 394.8)","(40, 2014, 86.6, 238.2)","(102, -1, 106.5, 320.4)","(0, -1, 121.3, 303.3)","(40, -1, 53.1, 248.1)","(25, -1, 57.2, 368.0)","(40, -1, 95.5, 375.3)","(40, -1, 89.3, 264.1)"
117,"(19, 2012, 115.1, 296.3)","(104, 2013, 64.6, 255.4)","(0, 2012, 75.7, 306.0)","(4, 2012, 125.8, 292.2)","(40, 2016, 136.3, 295.2)","(25, 2014, 105.8, 374.4)","(19, -1, 132.5, 300.3)","(104, -1, 65.7, 253.5)","(0, -1, 78.8, 286.4)","(4, -1, 123.3, 288.6)","(40, -1, 157.5, 312.9)","(25, -1, 100.7, 387.2)"
118,"(4, 2017, 132.7, 396.2)","(40, 2014, 119.0, 215.2)","(0, 2015, 114.8, 205.7)","(58, 2012, 69.1, 332.0)","(104, 2013, 77.3, 234.3)","(104, 2014, 80.9, 200.3)","(4, -1, 155.2, 394.8)","(40, -1, 136.2, 191.9)","(0, -1, 117.4, 203.0)","(58, -1, 59.7, 319.0)","(104, -1, 80.8, 248.2)","(104, -1, 79.7, 206.1)"
119,"(58, 2014, 79.9, 343.5)","(19, 2017, 65.6, 360.9)","(25, 2013, 61.2, 318.0)","(25, 2017, 95.8, 298.1)","(19, 2017, 119.0, 208.9)","(58, 2016, 92.8, 300.5)","(58, -1, 68.9, 351.5)","(19, -1, 67.5, 375.6)","(25, -1, 52.1, 329.3)","(25, -1, 96.2, 273.7)","(19, -1, 119.8, 191.8)","(58, -1, 100.8, 309.7)"
120,"(40, 2015, 91.5, 325.1)","(104, 2014, 89.0, 379.2)","(4, 2017, 103.6, 287.6)","(19, 2014, 92.5, 246.2)","(104, 2015, 47.5, 205.4)","(4, 2015, 160.1, 336.5)","(40, -1, 87.0, 302.9)","(104, -1, 92.2, 357.3)","(4, -1, 106.1, 288.0)","(19, -1, 87.8, 262.9)","(104, -1, 52.2, 213.3)","(4, -1, 155.1, 301.2)"
121,"(40, 2014, 108.5, 366.5)","(104, 2015, 109.1, 261.2)","(0, 2015, 107.8, 323.4)","(19, 2013, 110.6, 331.9)","(102, 2015, 104.6, 204.7)","(4, 2013, 110.1, 250.0)","(40, -1, 123.8, 387.9)","(104, -1, 125.1, 271.7)","(0, -1, 110.5, 326.1)","(19, -1, 125.7, 310.3)","(102, -1, 97.3, 194.5)","(4, -1, 121.2, 248.5)"
122,"(102, 2012, 163.6, 339.7)","(104, 2015, 90.5, 400.0)","(0, 2017, 96.3, 259.9)","(102, 2013, 79.1, 384.9)","(40, 2012, 80.6, 296.4)","(58, 2015, 130.4, 222.7)","(102, -1, 179.9, 332.2)","(104, -1, 94.1, 340.8)","(0, -1, 91.2, 278.5)","(102, -1, 71.5, 366.5)","(40, -1, 86.7, 324.6)","(58, -1, 144.6, 211.5)"
123,"(104, 2015, 119.0, 298.3)","(102, 2016, 107.9, 262.8)","(40, 2014, 95.8, 335.5)","(4, 2017, 103.1, 203.9)","(0, 2016, 86.6, 345.0)","(0, 2015, 98.4, 358.7)","(104, -1, 148.1, 308.8)","(102, -1, 113.3, 221.5)","(40, -1, 101.5, 380.6)","(4, -1, 125.3, 207.1)","(0, -1, 84.1, 333.8)","(0, -1, 91.3, 371.3)"
124,"(40, 2016, 112.5, 281.6)","(58, 2016, 84.7, 348.9)","(19, 2015, 105.7, 368.5)","(58, 2017, 68.4, 283.9)","(4, 2014, 73.1, 332.4)","(102, 2017, 109.0, 316.7)","(40, -1, 115.0, 267.8)","(58, -1, 84.9, 361.6)","(19, -1, 108.3, 336.7)","(58, -1, 64.4, 295.8)","(4, -1, 76.2, 295.2)","(102, -1, 114.6, 274.0)"
125,"(102, 2012, 93.6, 355.6)","(0, 2017, 119.5, 206.3)","(102, 2015, 88.1, 337.9)","(58, 2015, 132.6, 252.9)","(0, 2013, 117.1, 319.1)","(25, 2012, 111.3, 364.9)","(102, -1, 72.4, 399.9)","(0, -1, 103.8, 202.8)","(102, -1, 88.8, 324.5)","(58, -1, 154.4, 252.1)","(0, -1, 97.4, 288.5)","(25, -1, 102.5, 344.4)"
126,"(8, 2015, 38.8, 307.1)","(102, 2014, 115.9, 332.4)","(40, 2012, 85.2, 362.2)","(8, 2017, 96.5, 207.4)","(104, 2013, 72.0, 306.6)","(40, 2012, 93.2, 285.5)","(8, -1, 36.5, 309.3)","(102, -1, 110.4, 353.2)","(40, -1, 97.1, 397.7)","(8, -1, 85.0, 213.5)","(104, -1, 61.7, 329.4)","(40, -1, 99.2, 249.5)"
127,"(58, 2013, 108.4, 354.1)","(58, 2015, 122.6, 394.1)","(25, 2015, 45.3, 284.9)","(4, 2012, 90.2, 253.3)","(40, 2014, 69.6, 325.7)","(25, 2016, 63.3, 306.0)","(58, -1, 91.7, 324.1)","(58, -1, 122.5, 402.2)","(25, -1, 55.3, 249.2)","(4, -1, 81.4, 241.2)","(40, -1, 59.3, 350.0)","(25, -1, 68.2, 294.4)"
128,"(40, 2012, 93.1, 291.6)","(40, 2017, 121.9, 212.4)","(58, 2016, 74.8, 279.1)","(19, 2015, 88.4, 315.0)","(104, 2014, 95.3, 241.4)","(4, 2017, 47.8, 334.4)","(40, -1, 85.8, 313.5)","(40, -1, 121.8, 214.0)","(58, -1, 74.1, 277.6)","(19, -1, 84.1, 314.5)","(104, -1, 102.5, 280.8)","(4, -1, 48.1, 337.0)"
