Scenario no.,SB0,SB1,SB2,SB3,SB4,BM0,BM1,BM2,BM3,BM4
77,"(0, 2012, 116.4, 311.0)","(104, 2012, 124.6, 338.5)","(19, 2017, 75.3, 368.1)","(40, 2017, 122.5, 325.5)","(40, 2016, 75.1, 345.6)","(0, -1, 120.5, 341.7)","(104, -1, 105.3, 316.9)","(19, -1, 79.4, 395.4)","(40, -1, 125.2, 318.4)","(40, -1, 84.3, 351.1)"
78,"(4, 2012, 89.3, 232.7)","(102, 2017, 106.2, 226.5)","(104, 2013, 95.9, 209.6)","(58, 2012, 102.7, 295.0)","(25, 2015, 101.2, 269.6)","(4, -1, 86.8, 252.7)","(102, -1, 111.9, 220.0)","(104, -1, 102.1, 193.9)","(58, -1, 112.7, 314.8)","(25, -1, 92.5, 266.0)"
79,"(102, 2012, 84.6, 204.5)","(19, 2017, 139.3, 237.2)","(40, 2017, 97.1, 230.1)","(19, 2016, 91.1, 315.9)","(58, 2016, 130.6, 238.1)","(102, -1, 91.4, 204.5)","(19, -1, 150.2, 258.8)","(40, -1, 100.1, 219.2)","(19, -1, 94.4, 346.4)","(58, -1, 136.3, 241.3)"
80,"(25, 2016, 78.8, 236.8)","(102, 2012, 75.0, 383.7)","(19, 2013, 69.8, 382.0)","(0, 2014, 111.9, 229.3)","(40, 2016, 106.4, 225.2)","(25, -1, 77.7, 243.2)","(102, -1, 74.8, 389.6)","(19, -1, 63.6, 396.5)","(0, -1, 109.6, 239.6)","(40, -1, 100.8, 225.4)"
81,"(19, 2012, 123.0, 222.8)","(102, 2014, 49.8, 273.9)","(40, 2017, 98.8, 283.2)","(40, 2017, 110.2, 284.9)","(104, 2015, 115.9, 268.3)","(19, -1, 135.0, 212.0)","(102, -1, 41.1, 278.7)","(40, -1, 102.5, 338.2)","(40, -1, 104.5, 275.8)","(104, -1, 111.5, 275.1)"
82,"(0, 2015, 133.5, 226.0)","(104, 2016, 54.6, 240.5)","(19, 2016, 104.7, 326.6)","(58, 2015, 112.3, 237.6)","(19, 2016, 107.3, 384.5)","(0, -1, 136.2, 207.2)","(104, -1, 58.9, 233.9)","(19, -1, 93.7, 322.9)","(58, -1, 101.2, 254.3)","(19, -1, 115.3, 370.2)"
83,"(8, 2017, 53.6, 278.8)","(102, 2015, 114.8, 228.4)","(0, 2012, 111.6, 299.5)","(19, 2014, 89.8, 206.4)","(0, 2012, 100.6, 320.6)","(8, -1, 43.6, 280.4)","(102, -1, 114.6, 218.5)","(0, -1, 92.5, 310.8)","(19, -1, 94.7, 212.9)","(0, -1, 100.6, 306.6)"
84,"(19, 2015, 103.5, 334.7)","(58, 2012, 108.8, 220.7)","(4, 2015, 115.7, 348.8)","(8, 2012, 117.0, 283.6)","(25, 2014, 101.1, 211.2)","(19, -1, 96.7, 290.6)","(58, -1, 105.6, 239.3)","(4, -1, 120.4, 378.4)","(8, -1, 108.0, 257.9)","(25, -1, 101.3, 216.4)"
85,"(4, 2015, 147.1, 387.9)","(19, 2016, 133.7, 384.7)","(8, 2016, 117.3, 302.5)","(25, 2016, 88.8, 382.3)","(102, 2015, 71.7, 298.0)","(4, -1, 148.9, 399.2)","(19, -1, 129.4, 352.4)","(8, -1, 101.0, 272.9)","(25, -1, 103.7, 390.5)","(102, -1, 63.3, 337.9)"
86,"(25, 2016, 98.2, 397.8)","(25, 2013, 93.0, 223.7)","(4, 2014, 105.0, 335.5)","(8, 2017, 84.2, 375.2)","(102, 2017, 128.1, 371.8)","(25, -1, 97.7, 435.0)","(25, -1, 86.7, 212.1)","(4, -1, 119.9, 386.6)","(8, -1, 83.6, 354.0)","(102, -1, 113.5, 379.4)"
87,"(8, 2013, 70.7, 342.3)","(19, 2015, 61.5, 228.5)","(102, 2015, 115.4, 320.3)","(58, 2014, 139.1, 305.2)","(58, 2017, 79.9, 248.0)","(8, -1, 72.7, 317.1)","(19, -1, 66.9, 229.1)","(102, -1, 124.1, 292.1)","(58, -1, 146.7, 316.1)","(58, -1, 89.2, 260.6)"
88,"(8, 2012, 69.6, 268.4)","(19, 2014, 110.1, 387.3)","(58, 2013, 68.3, 351.0)","(0, 2013, 151.9, 316.4)","(104, 2013, 109.5, 205.6)","(8, -1, 67.6, 260.3)","(19, -1, 133.4, 380.8)","(58, -1, 72.8, 309.8)","(0, -1, 148.7, 305.7)","(104, -1, 113.0, 212.3)"
89,"(0, 2017, 117.5, 217.9)","(102, 2013, 142.2, 310.3)","(58, 2012, 90.2, 275.9)","(40, 2015, 101.8, 317.6)","(58, 2015, 71.0, 324.5)","(0, -1, 109.0, 235.8)","(102, -1, 132.6, 316.2)","(58, -1, 88.4, 278.9)","(40, -1, 94.5, 306.5)","(58, -1, 72.6, 341.8)"
90,"(40, 2014, 106.1, 305.2)","(8, 2015, 103.9, 258.4)","(102, 2015, 75.2, 262.4)","(4, 2015, 127.4, 204.3)","(8, 2012, 123.2, 345.2)","(40, -1, 104.2, 317.8)","(8, -1, 105.9, 252.6)","(102, -1, 76.6, 240.7)","(4, -1, 121.4, 195.3)","(8, -1, 145.9, 324.9)"
91,"(8, 2012, 118.4, 263.8)","(40, 2015, 148.3, 358.3)","(58, 2013, 63.9, 291.7)","(25, 2015, 110.9, 273.1)","(8, 2017, 118.1, 369.2)","(8, -1, 126.6, 235.9)","(40, -1, 130.1, 350.2)","(58, -1, 61.9, 268.2)","(25, -1, 142.7, 258.5)","(8, -1, 121.0, 380.5)"
92,"(8, 2014, 131.2, 237.3)","(4, 2017, 103.2, 301.0)","(0, 2016, 94.2, 324.5)","(0, 2014, 80.7, 234.3)","(8, 2016, 98.9, 326.2)","(8, -1, 122.1, 243.9)","(4, -1, 106.3, 310.0)","(0, -1, 106.3, 323.0)","(0, -1, 74.4, 269.5)","(8, -1, 111.4, 368.4)"
93,"(104, 2012, 100.7, 261.6)","(19, 2012, 122.0, 325.1)","(0, 2015, 91.2, 283.6)","(104, 2016, 73.6, 271.5)","(104, 2012, 98.8, 233.2)","(104, -1, 102.9, 239.8)","(19, -1, 129.3, 308.2)","(0, -1, 95.9, 276.7)","(104, -1, 81.3, 280.0)","(104, -1, 114.9, 253.9)"
94,"(4, 2012, 95.2, 244.3)","(0, 2015, 80.4, 312.7)","(40, 2012, 124.6, 247.2)","(104, 2016, 108.3, 318.1)","(8, 2014, 65.8, 295.4)","(4, -1, 67.0, 232.2)","(0, -1, 72.1, 348.4)","(40, -1, 128.7, 295.3)","(104, -1, 115.0, 276.1)","(8, -1, 63.9, 287.8)"
95,"(19, 2012, 34.0, 361.7)","(40, 2013, 108.3, 287.7)","(19, 2017, 59.2, 245.0)","(104, 2012, 98.4, 353.7)","(58, 2017, 115.0, 395.0)","(19, -1, 29.0, 349.6)","(40, -1, 122.2, 309.2)","(19, -1, 54.0, 238.8)","(104, -1, 110.7, 378.2)","(58, -1, 114.5, 324.1)"
96,"(25, 2014, 111.7, 283.0)","(58, 2015, 153.6, 256.8)","(19, 2017, 139.4, 281.0)","(58, 2015, 74.1, 342.2)","(8, 2014, 54.6, 254.0)","(25, -1, 124.9, 317.8)","(58, -1, 143.7, 270.2)","(19, -1, 108.6, 269.3)","(58, -1, 70.6, 340.6)","(8, -1, 57.7, 230.8)"
97,"(58, 2015, 67.3, 362.3)","(40, 2012, 124.3, 326.7)","(40, 2016, 105.4, 285.9)","(25, 2012, 107.3, 252.8)","(58, 2016, 88.0, 255.0)","(58, -1, 61.3, 331.6)","(40, -1, 124.7, 352.9)","(40, -1, 120.6, 262.7)","(25, -1, 109.5, 242.2)","(58, -1, 80.9, 261.3)"
98,"(40, 2013, 91.7, 320.4)","(4, 2014, 78.7, 279.2)","(19, 2014, 112.4, 371.7)","(19, 2012, 123.7, 389.6)","(104, 2015, 128.6, 361.7)","(40, -1, 84.5, 296.2)","(4, -1, 92.8, 304.5)","(19, -1, 119.7, 402.1)","(19, -1, 126.5, 367.0)","(104, -1, 122.3, 393.0)"
99,"(40, 2014, 82.2, 225.0)","(40, 2016, 106.4, 254.6)","(58, 2015, 99.3, 395.3)","(0, 2016, 66.5, 351.9)","(102, 2014, 113.1, 254.5)","(40, -1, 72.4, 228.2)","(40, -1, 109.0, 263.1)","(58, -1, 112.5, 376.0)","(0, -1, 66.1, 352.1)","(102, -1, 102.7, 249.9)"
100,"(40, 2016, 103.8, 266.1)","(4, 2013, 123.4, 258.2)","(40, 2016, 94.8, 340.5)","(58, 2012, 79.5, 249.9)","(58, 2013, 111.3, 391.7)","(40, -1, 109.4, 277.1)","(4, -1, 104.3, 234.2)","(40, -1, 71.5, 374.2)","(58, -1, 74.1, 235.0)","(58, -1, 126.7, 435.3)"
101,"(104, 2012, 73.0, 242.6)","(102, 2016, 86.3, 243.5)","(40, 2015, 101.4, 249.9)","(19, 2012, 99.9, 372.1)","(8, 2015, 84.7, 305.0)","(104, -1, 76.3, 236.4)","(102, -1, 75.9, 253.8)","(40, -1, 90.8, 243.9)","(19, -1, 106.1, 357.5)","(8, -1, 72.2, 324.2)"
102,"(19, 2013, 112.2, 201.1)","(8, 2016, 117.1, 224.3)","(40, 2015, 85.1, 208.0)","(25, 2012, 85.7, 309.4)","(4, 2014, 84.4, 268.1)","(19, -1, 115.1, 219.6)","(8, -1, 132.1, 216.8)","(40, -1, 90.0, 185.6)","(25, -1, 88.0, 311.5)","(4, -1, 80.1, 291.8)"
103,"(40, 2013, 122.6, 359.9)","(104, 2013, 118.7, 259.8)","(19, 2015, 88.0, 201.5)","(40, 2013, 79.9, 391.5)","(104, 2016, 76.9, 348.1)","(40, -1, 130.9, 360.4)","(104, -1, 106.5, 230.1)","(19, -1, 83.3, 176.8)","(40, -1, 77.5, 345.9)","(104, -1, 67.3, 331.2)"
104,"(25, 2013, 116.0, 217.3)","(4, 2017, 145.7, 397.4)","(102, 2016, 90.8, 227.9)","(104, 2013, 91.7, 237.6)","(4, 2017, 156.7, 348.2)","(25, -1, 112.9, 185.7)","(4, -1, 137.8, 422.6)","(102, -1, 83.5, 251.9)","(104, -1, 99.2, 272.9)","(4, -1, 150.9, 375.5)"
105,"(8, 2017, 87.7, 297.5)","(4, 2017, 52.0, 360.1)","(4, 2016, 102.6, 334.0)","(102, 2017, 113.0, 270.4)","(40, 2012, 122.3, 348.9)","(8, -1, 95.0, 334.7)","(4, -1, 53.1, 425.5)","(4, -1, 93.3, 336.5)","(102, -1, 116.6, 240.9)","(40, -1, 119.4, 345.2)"
106,"(0, 2012, 71.9, 320.1)","(25, 2013, 107.9, 302.3)","(4, 2013, 66.7, 272.9)","(4, 2017, 67.5, 293.6)","(58, 2013, 92.7, 322.4)","(0, -1, 81.3, 376.4)","(25, -1, 102.0, 328.4)","(4, -1, 61.9, 288.2)","(4, -1, 66.2, 275.0)","(58, -1, 95.0, 307.1)"
107,"(58, 2016, 102.2, 293.8)","(0, 2017, 103.7, 345.3)","(8, 2014, 83.8, 352.8)","(19, 2013, 107.5, 334.7)","(102, 2017, 109.3, 255.7)","(58, -1, 98.5, 317.5)","(0, -1, 79.0, 376.5)","(8, -1, 87.7, 384.3)","(19, -1, 118.9, 326.4)","(102, -1, 115.4, 251.8)"
108,"(8, 2013, 87.3, 294.9)","(25, 2017, 114.7, 213.8)","(0, 2015, 113.1, 365.9)","(58, 2013, 77.9, 329.5)","(8, 2014, 63.7, 371.3)","(8, -1, 95.7, 322.2)","(25, -1, 133.8, 212.8)","(0, -1, 127.8, 362.2)","(58, -1, 65.0, 312.2)","(8, -1, 57.0, 427.3)"
109,"(25, 2017, 109.8, 223.7)","(102, 2012, 96.9, 275.7)","(19, 2017, 112.5, 272.9)","(0, 2015, 138.1, 282.6)","(40, 2015, 109.6, 350.8)","(25, -1, 108.2, 230.5)","(102, -1, 96.3, 275.9)","(19, -1, 109.6, 290.4)","(0, -1, 146.8, 293.4)","(40, -1, 119.5, 364.3)"
110,"(25, 2015, 121.9, 276.9)","(0, 2012, 125.3, 311.1)","(8, 2016, 107.7, 349.0)","(19, 2017, 82.3, 280.7)","(4, 2016, 108.7, 218.8)","(25, -1, 122.2, 250.0)","(0, -1, 118.6, 330.6)","(8, -1, 91.9, 368.2)","(19, -1, 86.2, 306.5)","(4, -1, 119.4, 203.9)"
111,"(102, 2012, 84.1, 259.8)","(4, 2015, 59.1, 252.1)","(19, 2014, 23.2, 221.7)","(25, 2012, 81.0, 254.7)","(4, 2015, 63.4, 284.0)","(102, -1, 84.9, 273.8)","(4, -1, 54.9, 251.2)","(19, -1, 20.8, 227.9)","(25, -1, 79.2, 270.9)","(4, -1, 62.5, 288.0)"
112,"(102, 2015, 53.4, 374.4)","(25, 2013, 114.6, 235.3)","(0, 2012, 108.2, 327.7)","(8, 2016, 46.9, 307.2)","(102, 2017, 114.1, 326.2)","(102, -1, 48.4, 405.7)","(25, -1, 132.1, 225.3)","(0, -1, 101.1, 338.5)","(8, -1, 47.9, 294.1)","(102, -1, 135.2, 293.1)"
113,"(25, 2015, 126.5, 260.8)","(0, 2016, 88.6, 367.3)","(8, 2016, 86.9, 255.9)","(58, 2013, 105.8, 247.3)","(8, 2013, 91.8, 287.1)","(25, -1, 147.9, 250.6)","(0, -1, 87.6, 348.7)","(8, -1, 91.2, 274.2)","(58, -1, 95.7, 239.2)","(8, -1, 103.7, 285.4)"
114,"(25, 2012, 113.5, 336.8)","(40, 2017, 129.6, 286.2)","(25, 2012, 130.5, 353.8)","(25, 2015, 89.9, 306.5)","(104, 2014, 64.8, 268.7)","(25, -1, 119.1, 307.7)","(40, -1, 120.8, 275.8)","(25, -1, 135.6, 333.4)","(25, -1, 102.1, 317.4)","(104, -1, 59.1, 275.3)"
115,"(4, 2015, 127.3, 343.0)","(40, 2016, 78.4, 329.0)","(102, 2012, 92.0, 346.1)","(0, 2012, 118.4, 226.6)","(4, 2017, 74.2, 355.1)","(4, -1, 119.5, 315.3)","(40, -1, 91.3, 384.6)","(102, -1, 89.2, 318.7)","(0, -1, 88.7, 218.1)","(4, -1, 73.0, 370.9)"
116,"(19, 2012, 87.7, 260.2)","(8, 2017, 84.6, 265.3)","(104, 2017, 84.6, 353.9)","(8, 2012, 83.5, 224.7)","(25, 2014, 89.2, 267.2)","(19, -1, 88.8, 256.0)","(8, -1, 87.8, 245.5)","(104, -1, 93.0, 265.4)","(8, -1, 78.1, 224.0)","(25, -1, 90.6, 241.5)"
117,"(104, 2015, 134.5, 373.4)","(8, 2012, 115.5, 271.0)","(104, 2014, 94.5, 399.5)","(102, 2013, 85.1, 265.6)","(104, 2014, 142.0, 317.7)","(104, -1, 142.1, 396.7)","(8, -1, 131.0, 276.7)","(104, -1, 85.6, 376.8)","(102, -1, 89.3, 268.3)","(104, -1, 143.7, 304.1)"
118,"(8, 2012, 51.9, 348.9)","(19, 2012, 58.8, 247.0)","(19, 2014, 131.0, 272.7)","(58, 2012, 95.8, 375.9)","(0, 2012, 50.9, 338.9)","(8, -1, 47.1, 371.9)","(19, -1, 60.2, 242.2)","(19, -1, 122.7, 274.6)","(58, -1, 114.7, 338.8)","(0, -1, 47.8, 380.4)"
119,"(19, 2014, 104.9, 202.8)","(58, 2015, 103.7, 206.2)","(19, 2016, 78.6, 330.9)","(58, 2015, 101.1, 387.8)","(19, 2014, 81.4, 203.2)","(19, -1, 105.6, 161.2)","(58, -1, 121.0, 234.0)","(19, -1, 80.2, 360.3)","(58, -1, 110.8, 409.5)","(19, -1, 74.5, 163.0)"
120,"(8, 2012, 104.5, 263.8)","(8, 2015, 80.9, 201.4)","(8, 2014, 95.3, 339.6)","(58, 2014, 99.1, 283.4)","(25, 2017, 31.9, 341.7)","(8, -1, 132.5, 278.8)","(8, -1, 78.6, 172.7)","(8, -1, 122.7, 365.0)","(58, -1, 89.3, 255.3)","(25, -1, 27.5, 351.5)"
121,"(58, 2017, 111.3, 302.6)","(0, 2017, 106.3, 299.7)","(25, 2013, 64.0, 378.1)","(8, 2012, 91.6, 376.9)","(4, 2013, 87.4, 273.2)","(58, -1, 123.4, 300.6)","(0, -1, 114.2, 280.2)","(25, -1, 54.4, 316.5)","(8, -1, 87.6, 384.3)","(4, -1, 82.6, 248.0)"
122,"(58, 2016, 102.1, 365.4)","(4, 2014, 79.9, 235.5)","(102, 2014, 106.7, 388.4)","(40, 2017, 126.6, 380.3)","(58, 2012, 107.7, 247.1)","(58, -1, 101.3, 387.1)","(4, -1, 85.6, 206.7)","(102, -1, 110.7, 414.2)","(40, -1, 110.3, 377.8)","(58, -1, 137.2, 237.0)"
123,"(4, 2013, 64.4, 358.1)","(58, 2013, 111.1, 270.0)","(58, 2012, 138.7, 388.8)","(58, 2013, 49.2, 255.2)","(58, 2017, 95.5, 309.7)","(4, -1, 66.7, 329.3)","(58, -1, 86.8, 277.0)","(58, -1, 150.9, 417.6)","(58, -1, 53.9, 275.7)","(58, -1, 90.3, 354.0)"
124,"(8, 2012, 65.0, 377.1)","(40, 2013, 131.6, 288.4)","(8, 2012, 105.3, 236.4)","(8, 2017, 89.3, 250.4)","(19, 2016, 111.9, 375.4)","(8, -1, 65.1, 370.0)","(40, -1, 135.0, 311.0)","(8, -1, 92.1, 260.5)","(8, -1, 85.6, 228.4)","(19, -1, 119.1, 396.9)"
125,"(8, 2017, 159.1, 368.1)","(19, 2012, 99.1, 309.9)","(104, 2012, 30.1, 224.6)","(40, 2013, 115.6, 353.4)","(25, 2013, 77.4, 387.6)","(8, -1, 133.7, 405.3)","(19, -1, 102.8, 280.7)","(104, -1, 31.0, 214.2)","(40, -1, 120.6, 360.8)","(25, -1, 79.8, 406.4)"
126,"(40, 2017, 115.2, 348.8)","(4, 2017, 93.6, 296.6)","(40, 2012, 96.1, 333.7)","(104, 2012, 93.6, 336.2)","(8, 2013, 93.3, 358.9)","(40, -1, 130.2, 336.5)","(4, -1, 90.6, 276.0)","(40, -1, 87.5, 364.8)","(104, -1, 88.2, 352.3)","(8, -1, 77.9, 327.9)"
127,"(40, 2014, 95.0, 302.0)","(58, 2017, 94.8, 203.4)","(25, 2015, 68.7, 366.4)","(0, 2016, 93.8, 205.2)","(104, 2012, 135.1, 291.9)","(40, -1, 104.1, 339.5)","(58, -1, 88.8, 204.5)","(25, -1, 67.1, 308.5)","(0, -1, 91.0, 229.0)","(104, -1, 138.1, 238.1)"
128,"(40, 2013, 112.2, 385.1)","(40, 2017, 111.9, 278.3)","(40, 2015, 104.3, 321.3)","(4, 2017, 97.3, 245.8)","(0, 2012, 130.3, 270.8)","(40, -1, 142.8, 321.0)","(40, -1, 100.8, 299.6)","(40, -1, 112.8, 321.0)","(4, -1, 107.4, 233.8)","(0, -1, 147.7, 246.8)"
129,"(0, 2013, 91.6, 265.9)","(0, 2013, 110.0, 299.4)","(0, 2014, 108.9, 236.0)","(0, 2012, 42.7, 336.2)","(102, 2017, 62.6, 349.6)","(0, -1, 93.5, 261.8)","(0, -1, 124.8, 292.7)","(0, -1, 104.4, 243.8)","(0, -1, 44.1, 350.2)","(102, -1, 67.0, 351.9)"
130,"(58, 2017, 121.8, 362.3)","(19, 2015, 124.1, 314.0)","(40, 2016, 134.9, 245.9)","(25, 2014, 143.5, 234.3)","(19, 2016, 126.7, 247.4)","(58, -1, 136.9, 351.6)","(19, -1, 115.4, 312.6)","(40, -1, 128.3, 238.9)","(25, -1, 148.7, 229.8)","(19, -1, 156.1, 273.8)"
131,"(25, 2012, 79.6, 310.7)","(40, 2015, 73.3, 349.9)","(4, 2015, 121.1, 385.1)","(19, 2015, 128.1, 222.9)","(58, 2013, 130.6, 245.2)","(25, -1, 76.0, 312.0)","(40, -1, 76.2, 353.7)","(4, -1, 103.2, 416.6)","(19, -1, 125.2, 234.1)","(58, -1, 136.7, 253.4)"
132,"(102, 2015, 111.7, 333.0)","(25, 2013, 84.1, 226.0)","(0, 2017, 122.8, 243.7)","(0, 2015, 117.0, 311.9)","(102, 2016, 83.3, 295.3)","(102, -1, 104.2, 317.5)","(25, -1, 72.8, 256.7)","(0, -1, 135.4, 225.8)","(0, -1, 114.9, 255.7)","(102, -1, 79.5, 259.2)"
133,"(19, 2016, 115.4, 392.8)","(19, 2015, 53.2, 270.7)","(0, 2015, 120.2, 292.8)","(0, 2013, 84.4, 394.3)","(25, 2013, 137.7, 274.1)","(19, -1, 112.8, 398.2)","(19, -1, 55.5, 251.3)","(0, -1, 121.5, 310.4)","(0, -1, 83.1, 366.8)","(25, -1, 112.2, 290.2)"
134,"(25, 2013, 145.3, 300.0)","(40, 2012, 79.0, 360.3)","(104, 2013, 31.6, 216.4)","(104, 2013, 54.6, 348.7)","(0, 2012, 77.9, 394.1)","(25, -1, 151.0, 273.4)","(40, -1, 86.5, 378.7)","(104, -1, 32.9, 219.8)","(104, -1, 41.3, 364.1)","(0, -1, 74.4, 397.1)"
135,"(4, 2015, 68.9, 338.8)","(40, 2014, 120.5, 280.7)","(58, 2012, 110.8, 262.5)","(4, 2013, 100.1, 217.1)","(25, 2012, 139.3, 240.3)","(4, -1, 75.9, 364.2)","(40, -1, 113.6, 268.5)","(58, -1, 100.6, 225.7)","(4, -1, 96.2, 198.2)","(25, -1, 131.0, 223.4)"
136,"(0, 2016, 94.4, 235.1)","(25, 2016, 93.9, 214.6)","(102, 2015, 75.5, 226.7)","(102, 2013, 100.6, 252.6)","(102, 2016, 92.3, 287.2)","(0, -1, 83.4, 240.1)","(25, -1, 98.3, 204.0)","(102, -1, 84.4, 212.5)","(102, -1, 94.2, 260.6)","(102, -1, 99.3, 254.5)"
137,"(58, 2012, 135.9, 364.0)","(8, 2013, 79.8, 318.9)","(58, 2015, 95.1, 300.4)","(0, 2013, 111.5, 207.1)","(8, 2013, 50.8, 352.7)","(58, -1, 124.5, 371.8)","(8, -1, 68.4, 244.2)","(58, -1, 94.1, 273.3)","(0, -1, 123.1, 194.2)","(8, -1, 52.4, 369.5)"
138,"(102, 2012, 84.6, 237.9)","(102, 2017, 79.0, 361.0)","(8, 2013, 119.6, 220.4)","(58, 2012, 64.6, 328.3)","(4, 2012, 87.2, 237.6)","(102, -1, 107.7, 221.0)","(102, -1, 75.2, 354.9)","(8, -1, 106.9, 196.0)","(58, -1, 60.4, 345.5)","(4, -1, 87.7, 222.0)"
139,"(19, 2013, 78.8, 342.0)","(102, 2017, 90.7, 342.8)","(0, 2015, 109.6, 320.9)","(40, 2017, 117.6, 325.3)","(25, 2015, 89.3, 346.4)","(19, -1, 82.0, 353.4)","(102, -1, 106.3, 354.8)","(0, -1, 129.3, 312.6)","(40, -1, 153.9, 315.8)","(25, -1, 105.8, 311.8)"
140,"(40, 2014, 96.0, 220.3)","(40, 2016, 59.6, 214.7)","(19, 2013, 77.8, 354.9)","(104, 2013, 67.3, 254.5)","(0, 2012, 102.3, 318.0)","(40, -1, 108.3, 210.6)","(40, -1, 60.6, 229.3)","(19, -1, 77.3, 338.7)","(104, -1, 60.4, 235.3)","(0, -1, 97.8, 329.7)"
141,"(4, 2015, 124.7, 274.8)","(40, 2017, 104.1, 262.3)","(25, 2017, 101.6, 298.5)","(4, 2013, 89.3, 215.0)","(40, 2015, 109.8, 354.6)","(4, -1, 141.5, 280.1)","(40, -1, 97.0, 261.4)","(25, -1, 123.4, 289.5)","(4, -1, 82.8, 233.4)","(40, -1, 131.5, 345.1)"
142,"(0, 2017, 106.3, 344.4)","(58, 2014, 85.6, 270.8)","(104, 2017, 116.5, 269.0)","(104, 2013, 108.2, 331.4)","(58, 2012, 93.5, 349.4)","(0, -1, 101.1, 355.9)","(58, -1, 103.4, 285.0)","(104, -1, 104.8, 250.8)","(104, -1, 97.1, 336.3)","(58, -1, 91.6, 313.7)"
143,"(19, 2015, 127.0, 374.3)","(25, 2016, 70.7, 278.3)","(25, 2015, 103.4, 358.2)","(19, 2015, 116.5, 385.9)","(58, 2017, 129.0, 280.0)","(19, -1, 130.9, 350.0)","(25, -1, 79.6, 307.2)","(25, -1, 99.3, 346.2)","(19, -1, 113.7, 410.6)","(58, -1, 109.6, 285.4)"
144,"(40, 2016, 108.3, 239.1)","(104, 2015, 114.7, 280.1)","(4, 2014, 100.2, 279.5)","(19, 2017, 107.0, 248.5)","(104, 2013, 91.3, 264.9)","(40, -1, 86.6, 220.9)","(104, -1, 119.6, 269.4)","(4, -1, 96.4, 266.5)","(19, -1, 109.4, 259.3)","(104, -1, 93.3, 278.1)"
145,"(4, 2013, 134.0, 399.1)","(40, 2013, 107.0, 330.6)","(104, 2017, 72.6, 314.1)","(0, 2015, 136.8, 270.9)","(19, 2016, 81.3, 237.8)","(4, -1, 132.7, 405.6)","(40, -1, 81.4, 357.1)","(104, -1, 78.2, 323.1)","(0, -1, 138.4, 302.7)","(19, -1, 72.4, 245.9)"
146,"(102, 2015, 84.8, 373.0)","(4, 2013, 100.8, 357.0)","(102, 2016, 76.3, 309.2)","(104, 2013, 87.3, 218.3)","(0, 2013, 140.7, 342.3)","(102, -1, 86.0, 402.4)","(4, -1, 96.4, 420.7)","(102, -1, 63.0, 299.8)","(104, -1, 99.6, 211.3)","(0, -1, 154.5, 377.8)"
147,"(102, 2014, 77.7, 344.5)","(40, 2014, 90.9, 249.1)","(58, 2015, 53.7, 379.5)","(104, 2014, 150.8, 286.9)","(102, 2016, 95.9, 283.4)","(102, -1, 71.2, 329.3)","(40, -1, 73.8, 225.8)","(58, -1, 63.4, 451.3)","(104, -1, 155.8, 317.3)","(102, -1, 92.6, 287.7)"
148,"(40, 2012, 106.3, 236.8)","(4, 2016, 62.0, 382.1)","(0, 2013, 120.3, 277.5)","(0, 2017, 66.7, 399.0)","(40, 2013, 75.5, 260.5)","(40, -1, 86.7, 210.7)","(4, -1, 58.7, 362.7)","(0, -1, 91.4, 286.6)","(0, -1, 67.4, 415.4)","(40, -1, 94.4, 278.1)"
149,"(58, 2017, 97.6, 272.7)","(19, 2014, 130.6, 270.2)","(58, 2013, 91.7, 266.9)","(4, 2012, 60.1, 348.4)","(102, 2015, 98.4, 364.9)","(58, -1, 104.4, 288.5)","(19, -1, 154.1, 283.5)","(58, -1, 99.9, 264.0)","(4, -1, 61.3, 350.3)","(102, -1, 99.2, 335.5)"
150,"(102, 2015, 84.2, 234.2)","(0, 2016, 50.1, 283.0)","(102, 2017, 124.8, 364.4)","(58, 2015, 96.6, 287.3)","(0, 2014, 125.7, 239.0)","(102, -1, 88.8, 268.4)","(0, -1, 51.6, 257.8)","(102, -1, 118.9, 358.6)","(58, -1, 92.1, 307.1)","(0, -1, 141.8, 244.9)"
151,"(25, 2014, 135.7, 249.2)","(8, 2013, 111.7, 255.2)","(102, 2014, 114.6, 380.8)","(40, 2014, 79.0, 352.2)","(8, 2015, 96.5, 288.7)","(25, -1, 142.7, 263.8)","(8, -1, 106.9, 247.2)","(102, -1, 115.2, 371.9)","(40, -1, 67.5, 389.6)","(8, -1, 99.5, 301.3)"
152,"(104, 2017, 88.7, 266.4)","(40, 2012, 81.7, 232.2)","(58, 2013, 84.7, 200.3)","(58, 2016, 90.3, 306.5)","(25, 2015, 108.0, 392.0)","(104, -1, 89.7, 261.8)","(40, -1, 82.6, 217.3)","(58, -1, 78.0, 186.5)","(58, -1, 81.4, 313.5)","(25, -1, 111.9, 390.4)"
153,"(4, 2013, 79.0, 390.4)","(40, 2015, 88.0, 338.6)","(25, 2014, 54.6, 360.8)","(40, 2016, 122.4, 390.7)","(40, 2016, 98.9, 208.1)","(4, -1, 71.8, 411.5)","(40, -1, 99.8, 307.5)","(25, -1, 50.3, 363.8)","(40, -1, 136.0, 331.3)","(40, -1, 79.2, 204.8)"
