Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10,SB11
555,"(25, 2015)","(40, 2013)","(4, 2016)","(0, 2017)","(104, 2013)","(25, 2013)","(25, 2015)","(104, 2013)","(0, 2014)","(102, 2015)","(40, 2016)","(4, 2015)"
556,"(58, 2015)","(40, 2013)","(19, 2017)","(40, 2013)","(25, 2016)","(4, 2015)","(58, 2017)","(19, 2016)","(104, 2016)","(58, 2012)","(4, 2014)","(25, 2017)"
557,"(4, 2015)","(104, 2014)","(102, 2015)","(104, 2015)","(104, 2016)","(102, 2014)","(8, 2014)","(40, 2014)","(4, 2012)","(104, 2016)","(4, 2012)","(8, 2015)"
558,"(40, 2012)","(25, 2012)","(19, 2012)","(25, 2015)","(19, 2017)","(19, 2015)","(58, 2017)","(104, 2017)","(40, 2012)","(104, 2012)","(104, 2017)","(104, 2012)"
559,"(0, 2013)","(104, 2013)","(102, 2015)","(102, 2016)","(25, 2014)","(4, 2013)","(8, 2013)","(4, 2017)","(19, 2015)","(25, 2016)","(8, 2015)","(0, 2013)"
560,"(8, 2012)","(104, 2014)","(40, 2017)","(40, 2012)","(25, 2015)","(4, 2017)","(8, 2013)","(58, 2017)","(58, 2014)","(8, 2014)","(40, 2016)","(4, 2013)"
561,"(8, 2017)","(25, 2013)","(102, 2015)","(104, 2013)","(0, 2017)","(25, 2016)","(40, 2016)","(40, 2012)","(4, 2016)","(58, 2014)","(58, 2015)","(102, 2013)"
562,"(8, 2013)","(104, 2012)","(19, 2012)","(25, 2013)","(0, 2016)","(40, 2015)","(58, 2012)","(104, 2015)","(19, 2016)","(0, 2012)","(8, 2012)","(40, 2013)"
563,"(25, 2017)","(25, 2014)","(0, 2013)","(104, 2016)","(0, 2017)","(58, 2012)","(40, 2014)","(104, 2013)","(25, 2014)","(40, 2014)","(25, 2012)","(102, 2015)"
564,"(25, 2012)","(19, 2017)","(40, 2014)","(102, 2012)","(25, 2015)","(58, 2012)","(40, 2013)","(40, 2017)","(4, 2016)","(19, 2016)","(8, 2017)","(0, 2017)"
565,"(0, 2015)","(8, 2014)","(40, 2016)","(58, 2017)","(25, 2016)","(8, 2012)","(19, 2017)","(40, 2016)","(4, 2012)","(58, 2015)","(0, 2016)","(8, 2012)"
566,"(102, 2012)","(25, 2014)","(104, 2017)","(40, 2013)","(58, 2012)","(58, 2012)","(104, 2014)","(4, 2014)","(8, 2012)","(40, 2012)","(4, 2013)","(40, 2012)"
567,"(102, 2014)","(19, 2014)","(0, 2013)","(0, 2015)","(0, 2016)","(0, 2016)","(8, 2015)","(102, 2017)","(8, 2016)","(104, 2012)","(8, 2014)","(0, 2013)"
568,"(102, 2015)","(0, 2016)","(58, 2012)","(40, 2017)","(8, 2012)","(102, 2014)","(40, 2014)","(58, 2016)","(19, 2017)","(40, 2012)","(4, 2014)","(104, 2015)"
569,"(58, 2015)","(104, 2017)","(8, 2013)","(0, 2016)","(25, 2015)","(4, 2014)","(104, 2013)","(104, 2016)","(4, 2017)","(40, 2013)","(40, 2017)","(0, 2017)"
570,"(0, 2015)","(40, 2015)","(25, 2015)","(19, 2013)","(102, 2017)","(8, 2013)","(104, 2016)","(40, 2012)","(58, 2014)","(58, 2014)","(104, 2016)","(104, 2017)"
571,"(8, 2015)","(4, 2014)","(102, 2015)","(40, 2017)","(4, 2014)","(19, 2014)","(102, 2016)","(25, 2012)","(4, 2012)","(58, 2014)","(40, 2015)","(19, 2016)"
572,"(104, 2015)","(104, 2014)","(25, 2017)","(58, 2015)","(25, 2016)","(40, 2012)","(40, 2013)","(102, 2017)","(40, 2015)","(19, 2017)","(25, 2013)","(40, 2017)"
573,"(40, 2015)","(40, 2016)","(104, 2014)","(25, 2012)","(58, 2012)","(4, 2012)","(19, 2012)","(0, 2017)","(25, 2014)","(58, 2015)","(58, 2017)","(4, 2016)"
574,"(19, 2013)","(0, 2014)","(58, 2014)","(0, 2013)","(0, 2014)","(4, 2013)","(19, 2016)","(40, 2015)","(102, 2016)","(25, 2015)","(104, 2013)","(102, 2015)"
575,"(102, 2014)","(40, 2016)","(104, 2012)","(40, 2015)","(4, 2012)","(40, 2015)","(0, 2013)","(40, 2014)","(104, 2016)","(58, 2017)","(25, 2016)","(4, 2014)"
576,"(40, 2017)","(104, 2012)","(4, 2017)","(102, 2014)","(25, 2017)","(102, 2012)","(19, 2015)","(0, 2014)","(4, 2015)","(0, 2014)","(104, 2012)","(25, 2016)"
577,"(58, 2016)","(58, 2016)","(102, 2014)","(0, 2014)","(4, 2012)","(4, 2014)","(104, 2013)","(4, 2016)","(4, 2017)","(104, 2016)","(40, 2012)","(58, 2017)"
578,"(58, 2012)","(104, 2014)","(8, 2014)","(0, 2012)","(104, 2015)","(4, 2014)","(8, 2016)","(58, 2017)","(19, 2016)","(40, 2017)","(0, 2016)","(19, 2013)"
579,"(25, 2012)","(104, 2013)","(8, 2012)","(102, 2015)","(8, 2017)","(104, 2012)","(8, 2012)","(40, 2017)","(4, 2014)","(104, 2017)","(4, 2014)","(0, 2017)"
580,"(102, 2016)","(19, 2012)","(4, 2013)","(19, 2015)","(0, 2014)","(104, 2017)","(19, 2016)","(58, 2016)","(40, 2017)","(104, 2015)","(102, 2013)","(0, 2015)"
581,"(58, 2012)","(0, 2014)","(0, 2016)","(25, 2012)","(58, 2017)","(58, 2012)","(0, 2015)","(25, 2014)","(40, 2017)","(102, 2016)","(40, 2013)","(8, 2013)"
582,"(19, 2014)","(4, 2017)","(25, 2015)","(58, 2012)","(40, 2012)","(8, 2017)","(4, 2017)","(4, 2015)","(58, 2017)","(102, 2016)","(102, 2012)","(58, 2017)"
583,"(19, 2013)","(40, 2014)","(0, 2012)","(25, 2012)","(102, 2013)","(4, 2014)","(19, 2012)","(102, 2014)","(25, 2013)","(40, 2015)","(0, 2015)","(40, 2016)"
584,"(104, 2012)","(40, 2012)","(4, 2017)","(0, 2014)","(25, 2012)","(19, 2013)","(4, 2013)","(4, 2012)","(40, 2013)","(58, 2016)","(25, 2017)","(40, 2015)"
585,"(4, 2013)","(40, 2016)","(25, 2017)","(40, 2017)","(4, 2016)","(40, 2016)","(0, 2012)","(25, 2015)","(8, 2013)","(0, 2017)","(19, 2012)","(8, 2013)"
586,"(0, 2016)","(58, 2014)","(58, 2013)","(40, 2014)","(104, 2012)","(4, 2012)","(8, 2014)","(58, 2014)","(58, 2015)","(4, 2013)","(40, 2013)","(40, 2013)"
587,"(58, 2014)","(102, 2013)","(102, 2012)","(102, 2012)","(25, 2016)","(58, 2016)","(4, 2015)","(104, 2012)","(102, 2016)","(102, 2014)","(58, 2013)","(19, 2013)"
588,"(4, 2013)","(25, 2013)","(0, 2015)","(58, 2015)","(104, 2017)","(19, 2014)","(19, 2012)","(40, 2016)","(19, 2017)","(19, 2016)","(8, 2016)","(4, 2017)"
589,"(104, 2013)","(102, 2014)","(25, 2017)","(25, 2017)","(58, 2015)","(102, 2013)","(25, 2014)","(4, 2012)","(19, 2016)","(102, 2017)","(40, 2012)","(104, 2016)"
590,"(58, 2014)","(8, 2012)","(19, 2016)","(0, 2016)","(4, 2014)","(4, 2015)","(40, 2014)","(58, 2014)","(8, 2014)","(104, 2014)","(104, 2017)","(8, 2016)"
591,"(58, 2012)","(58, 2014)","(102, 2016)","(4, 2012)","(104, 2016)","(40, 2016)","(102, 2015)","(102, 2014)","(102, 2013)","(102, 2015)","(4, 2012)","(40, 2012)"
592,"(102, 2017)","(4, 2014)","(4, 2013)","(19, 2014)","(8, 2014)","(4, 2017)","(58, 2013)","(0, 2016)","(25, 2016)","(19, 2016)","(25, 2016)","(19, 2016)"
593,"(8, 2012)","(58, 2015)","(25, 2016)","(40, 2012)","(8, 2012)","(8, 2017)","(102, 2015)","(0, 2017)","(8, 2015)","(4, 2014)","(19, 2016)","(25, 2016)"
594,"(4, 2015)","(19, 2012)","(104, 2017)","(25, 2016)","(4, 2017)","(104, 2014)","(8, 2014)","(19, 2017)","(4, 2013)","(19, 2013)","(19, 2017)","(102, 2016)"
595,"(104, 2015)","(104, 2013)","(0, 2016)","(8, 2013)","(0, 2015)","(40, 2014)","(104, 2015)","(104, 2012)","(40, 2014)","(8, 2013)","(19, 2015)","(104, 2014)"
596,"(40, 2014)","(40, 2012)","(0, 2013)","(104, 2015)","(102, 2016)","(102, 2015)","(0, 2012)","(40, 2017)","(0, 2012)","(40, 2012)","(19, 2017)","(8, 2017)"
597,"(8, 2014)","(0, 2017)","(102, 2014)","(4, 2016)","(40, 2014)","(4, 2014)","(8, 2016)","(0, 2015)","(104, 2017)","(25, 2013)","(25, 2014)","(25, 2016)"
598,"(40, 2012)","(4, 2013)","(19, 2013)","(19, 2014)","(25, 2015)","(4, 2013)","(4, 2017)","(25, 2012)","(104, 2015)","(19, 2016)","(19, 2017)","(25, 2012)"
599,"(19, 2013)","(4, 2016)","(40, 2016)","(104, 2012)","(0, 2016)","(0, 2013)","(8, 2014)","(58, 2015)","(4, 2015)","(25, 2012)","(58, 2013)","(19, 2017)"
600,"(40, 2014)","(8, 2016)","(8, 2017)","(102, 2014)","(0, 2017)","(0, 2012)","(0, 2012)","(58, 2015)","(4, 2017)","(0, 2015)","(104, 2014)","(8, 2013)"
601,"(102, 2015)","(102, 2014)","(0, 2014)","(102, 2017)","(4, 2014)","(0, 2015)","(19, 2015)","(19, 2017)","(102, 2014)","(40, 2016)","(4, 2016)","(4, 2017)"
602,"(0, 2014)","(25, 2015)","(0, 2014)","(19, 2013)","(58, 2012)","(25, 2016)","(40, 2015)","(19, 2014)","(0, 2017)","(8, 2015)","(0, 2017)","(58, 2013)"
603,"(104, 2012)","(19, 2017)","(19, 2015)","(104, 2013)","(8, 2017)","(19, 2014)","(58, 2014)","(8, 2017)","(19, 2012)","(19, 2012)","(25, 2016)","(58, 2014)"
604,"(4, 2012)","(19, 2013)","(40, 2017)","(25, 2013)","(102, 2016)","(8, 2016)","(104, 2013)","(25, 2016)","(8, 2012)","(4, 2016)","(104, 2013)","(8, 2015)"
605,"(25, 2015)","(58, 2014)","(25, 2013)","(8, 2017)","(102, 2014)","(8, 2012)","(104, 2012)","(8, 2014)","(4, 2017)","(4, 2017)","(0, 2012)","(19, 2013)"
606,"(58, 2016)","(0, 2012)","(104, 2015)","(58, 2017)","(58, 2017)","(40, 2013)","(102, 2012)","(0, 2015)","(58, 2017)","(25, 2015)","(0, 2012)","(19, 2014)"
607,"(19, 2017)","(4, 2016)","(4, 2016)","(102, 2016)","(19, 2013)","(4, 2014)","(25, 2017)","(58, 2016)","(40, 2015)","(25, 2013)","(58, 2016)","(4, 2017)"
608,"(58, 2015)","(104, 2014)","(102, 2013)","(58, 2014)","(8, 2014)","(0, 2015)","(58, 2013)","(25, 2017)","(102, 2014)","(102, 2014)","(58, 2012)","(102, 2014)"
609,"(25, 2012)","(8, 2016)","(4, 2015)","(0, 2015)","(40, 2017)","(0, 2017)","(19, 2012)","(19, 2014)","(8, 2012)","(40, 2014)","(40, 2014)","(0, 2015)"
610,"(19, 2017)","(8, 2012)","(25, 2014)","(40, 2016)","(19, 2012)","(40, 2016)","(19, 2014)","(58, 2017)","(8, 2017)","(58, 2015)","(0, 2012)","(19, 2015)"
611,"(0, 2016)","(102, 2012)","(40, 2016)","(8, 2013)","(0, 2013)","(102, 2016)","(19, 2012)","(58, 2016)","(19, 2016)","(19, 2012)","(40, 2016)","(58, 2014)"
612,"(19, 2012)","(40, 2016)","(58, 2015)","(19, 2012)","(0, 2015)","(40, 2014)","(19, 2017)","(102, 2016)","(102, 2016)","(102, 2013)","(58, 2015)","(58, 2015)"
613,"(8, 2013)","(4, 2013)","(102, 2014)","(0, 2016)","(19, 2014)","(102, 2013)","(104, 2014)","(19, 2015)","(0, 2016)","(104, 2015)","(104, 2012)","(25, 2014)"
614,"(102, 2012)","(8, 2015)","(102, 2012)","(25, 2014)","(8, 2012)","(102, 2015)","(19, 2013)","(104, 2017)","(104, 2016)","(0, 2016)","(58, 2014)","(0, 2012)"
615,"(25, 2012)","(102, 2013)","(40, 2015)","(58, 2015)","(25, 2016)","(104, 2013)","(25, 2016)","(0, 2012)","(25, 2017)","(40, 2017)","(40, 2014)","(104, 2013)"
616,"(40, 2012)","(58, 2016)","(58, 2016)","(4, 2016)","(0, 2017)","(40, 2016)","(8, 2014)","(102, 2015)","(4, 2015)","(40, 2015)","(4, 2016)","(0, 2016)"
617,"(8, 2014)","(104, 2016)","(4, 2017)","(40, 2013)","(8, 2013)","(104, 2017)","(104, 2017)","(104, 2013)","(0, 2012)","(102, 2015)","(104, 2016)","(8, 2012)"
618,"(0, 2016)","(102, 2013)","(104, 2013)","(104, 2013)","(25, 2015)","(4, 2012)","(40, 2015)","(19, 2015)","(0, 2014)","(0, 2017)","(25, 2012)","(25, 2015)"
619,"(25, 2016)","(102, 2016)","(8, 2012)","(8, 2017)","(102, 2013)","(58, 2012)","(4, 2013)","(104, 2014)","(102, 2016)","(58, 2017)","(102, 2014)","(58, 2017)"
620,"(0, 2015)","(102, 2015)","(58, 2016)","(19, 2015)","(102, 2017)","(58, 2017)","(4, 2012)","(102, 2013)","(25, 2016)","(102, 2012)","(0, 2016)","(58, 2017)"
621,"(19, 2013)","(0, 2014)","(58, 2013)","(0, 2017)","(0, 2014)","(58, 2013)","(58, 2017)","(8, 2012)","(4, 2014)","(40, 2014)","(4, 2014)","(4, 2014)"
622,"(8, 2012)","(25, 2013)","(104, 2017)","(0, 2015)","(25, 2013)","(40, 2012)","(19, 2017)","(40, 2016)","(8, 2014)","(40, 2013)","(4, 2015)","(8, 2017)"
623,"(25, 2015)","(40, 2015)","(58, 2016)","(104, 2016)","(4, 2015)","(0, 2014)","(25, 2012)","(8, 2013)","(19, 2013)","(0, 2017)","(104, 2013)","(0, 2015)"
624,"(25, 2014)","(104, 2017)","(8, 2015)","(102, 2015)","(58, 2013)","(19, 2014)","(58, 2012)","(19, 2016)","(4, 2013)","(25, 2017)","(40, 2016)","(102, 2016)"
625,"(25, 2015)","(58, 2015)","(19, 2016)","(102, 2016)","(19, 2016)","(4, 2013)","(58, 2012)","(8, 2014)","(40, 2012)","(8, 2015)","(104, 2015)","(40, 2016)"
626,"(102, 2014)","(104, 2015)","(8, 2014)","(0, 2013)","(25, 2017)","(0, 2012)","(0, 2012)","(4, 2015)","(25, 2012)","(58, 2017)","(8, 2017)","(25, 2014)"
627,"(104, 2017)","(102, 2017)","(25, 2013)","(102, 2014)","(0, 2016)","(19, 2014)","(19, 2015)","(102, 2013)","(104, 2015)","(0, 2014)","(40, 2015)","(58, 2012)"
628,"(19, 2013)","(19, 2016)","(58, 2012)","(102, 2015)","(19, 2016)","(4, 2015)","(102, 2013)","(40, 2014)","(0, 2014)","(58, 2017)","(58, 2016)","(102, 2017)"
629,"(40, 2014)","(40, 2014)","(25, 2012)","(104, 2014)","(102, 2015)","(102, 2015)","(4, 2016)","(19, 2014)","(58, 2014)","(19, 2012)","(4, 2013)","(25, 2014)"
630,"(8, 2016)","(0, 2014)","(4, 2015)","(4, 2012)","(8, 2012)","(0, 2015)","(25, 2016)","(104, 2013)","(25, 2012)","(58, 2015)","(58, 2017)","(102, 2016)"
631,"(8, 2013)","(58, 2014)","(102, 2014)","(19, 2016)","(58, 2016)","(19, 2017)","(25, 2017)","(0, 2015)","(0, 2015)","(19, 2012)","(8, 2017)","(102, 2013)"
632,"(8, 2012)","(4, 2013)","(4, 2014)","(4, 2012)","(25, 2013)","(4, 2013)","(102, 2012)","(102, 2014)","(102, 2017)","(58, 2013)","(8, 2016)","(19, 2015)"
633,"(25, 2016)","(25, 2014)","(8, 2017)","(8, 2013)","(0, 2017)","(104, 2015)","(102, 2017)","(4, 2012)","(8, 2015)","(102, 2014)","(104, 2016)","(40, 2016)"
634,"(8, 2012)","(40, 2017)","(40, 2016)","(102, 2017)","(8, 2015)","(0, 2017)","(0, 2013)","(19, 2017)","(4, 2014)","(0, 2014)","(104, 2013)","(104, 2015)"
635,"(102, 2014)","(40, 2017)","(4, 2012)","(104, 2017)","(25, 2012)","(104, 2013)","(25, 2012)","(0, 2017)","(104, 2016)","(8, 2013)","(19, 2014)","(8, 2014)"
636,"(4, 2015)","(0, 2013)","(102, 2014)","(0, 2013)","(0, 2013)","(19, 2016)","(58, 2016)","(40, 2014)","(0, 2017)","(4, 2017)","(25, 2015)","(40, 2012)"
637,"(25, 2012)","(104, 2014)","(19, 2013)","(58, 2014)","(0, 2013)","(58, 2014)","(104, 2016)","(102, 2015)","(104, 2014)","(0, 2015)","(40, 2016)","(58, 2015)"
638,"(40, 2016)","(58, 2017)","(104, 2016)","(104, 2013)","(102, 2015)","(58, 2014)","(40, 2016)","(25, 2013)","(4, 2017)","(8, 2017)","(104, 2013)","(8, 2015)"
639,"(25, 2017)","(19, 2014)","(102, 2016)","(40, 2013)","(0, 2017)","(8, 2017)","(25, 2014)","(8, 2017)","(25, 2012)","(58, 2016)","(40, 2017)","(19, 2014)"
640,"(0, 2017)","(0, 2012)","(19, 2012)","(102, 2016)","(4, 2013)","(0, 2015)","(8, 2014)","(102, 2013)","(104, 2014)","(4, 2014)","(104, 2015)","(58, 2015)"
641,"(102, 2016)","(40, 2016)","(104, 2017)","(25, 2016)","(40, 2017)","(19, 2013)","(0, 2013)","(58, 2017)","(58, 2017)","(58, 2015)","(19, 2016)","(104, 2013)"
642,"(25, 2012)","(0, 2016)","(40, 2013)","(8, 2015)","(25, 2016)","(19, 2014)","(19, 2013)","(40, 2012)","(19, 2017)","(104, 2014)","(40, 2012)","(104, 2017)"
643,"(8, 2017)","(25, 2017)","(8, 2012)","(102, 2015)","(8, 2016)","(102, 2016)","(25, 2016)","(102, 2013)","(102, 2016)","(4, 2017)","(102, 2017)","(58, 2017)"
644,"(4, 2012)","(104, 2012)","(4, 2012)","(104, 2017)","(104, 2017)","(0, 2016)","(19, 2012)","(4, 2015)","(25, 2014)","(25, 2014)","(104, 2017)","(58, 2015)"
645,"(40, 2014)","(19, 2015)","(58, 2013)","(58, 2016)","(104, 2016)","(40, 2015)","(58, 2015)","(58, 2012)","(104, 2014)","(40, 2012)","(4, 2012)","(40, 2016)"
646,"(102, 2012)","(25, 2015)","(8, 2017)","(19, 2015)","(8, 2012)","(8, 2016)","(104, 2017)","(40, 2014)","(19, 2013)","(102, 2017)","(8, 2016)","(40, 2015)"
647,"(0, 2013)","(102, 2017)","(4, 2014)","(104, 2016)","(25, 2013)","(4, 2016)","(25, 2017)","(4, 2016)","(40, 2014)","(19, 2014)","(4, 2015)","(58, 2013)"
648,"(8, 2014)","(102, 2014)","(8, 2017)","(58, 2013)","(40, 2013)","(58, 2014)","(40, 2014)","(40, 2017)","(19, 2014)","(0, 2015)","(102, 2016)","(8, 2016)"
649,"(4, 2014)","(102, 2015)","(58, 2013)","(102, 2017)","(8, 2012)","(19, 2017)","(102, 2015)","(102, 2013)","(0, 2013)","(40, 2013)","(19, 2015)","(102, 2017)"
650,"(0, 2012)","(58, 2014)","(8, 2012)","(102, 2012)","(102, 2015)","(4, 2014)","(102, 2015)","(0, 2014)","(0, 2013)","(25, 2015)","(102, 2016)","(58, 2012)"
651,"(25, 2013)","(8, 2017)","(58, 2016)","(40, 2013)","(4, 2014)","(25, 2015)","(19, 2016)","(104, 2016)","(25, 2016)","(25, 2015)","(102, 2017)","(4, 2015)"
652,"(58, 2014)","(58, 2015)","(8, 2015)","(40, 2012)","(4, 2012)","(8, 2016)","(0, 2015)","(8, 2014)","(58, 2016)","(19, 2016)","(4, 2013)","(102, 2017)"
653,"(25, 2016)","(40, 2016)","(0, 2016)","(0, 2017)","(19, 2017)","(19, 2015)","(40, 2012)","(25, 2015)","(104, 2015)","(0, 2013)","(104, 2013)","(58, 2012)"
654,"(19, 2012)","(4, 2016)","(8, 2017)","(25, 2014)","(0, 2013)","(8, 2017)","(40, 2013)","(19, 2017)","(58, 2016)","(104, 2014)","(40, 2014)","(4, 2012)"
655,"(0, 2016)","(4, 2015)","(4, 2014)","(40, 2012)","(40, 2014)","(19, 2014)","(104, 2016)","(102, 2013)","(58, 2014)","(104, 2013)","(19, 2016)","(25, 2012)"
656,"(102, 2012)","(40, 2012)","(0, 2013)","(4, 2016)","(25, 2017)","(104, 2015)","(40, 2014)","(0, 2012)","(104, 2015)","(19, 2017)","(8, 2012)","(58, 2015)"
657,"(0, 2013)","(8, 2012)","(58, 2016)","(4, 2017)","(0, 2013)","(4, 2016)","(102, 2014)","(102, 2014)","(4, 2012)","(58, 2015)","(4, 2017)","(8, 2015)"
658,"(19, 2015)","(58, 2015)","(19, 2014)","(8, 2013)","(104, 2013)","(4, 2013)","(4, 2016)","(19, 2016)","(19, 2012)","(8, 2013)","(40, 2016)","(19, 2013)"
659,"(102, 2014)","(40, 2016)","(8, 2012)","(58, 2013)","(104, 2015)","(104, 2015)","(19, 2012)","(104, 2016)","(19, 2013)","(4, 2014)","(0, 2012)","(0, 2016)"
660,"(0, 2016)","(102, 2016)","(40, 2017)","(25, 2016)","(40, 2013)","(8, 2013)","(25, 2016)","(58, 2017)","(104, 2013)","(104, 2017)","(102, 2012)","(19, 2017)"
661,"(19, 2016)","(19, 2013)","(8, 2012)","(19, 2017)","(4, 2017)","(102, 2014)","(0, 2017)","(19, 2014)","(4, 2014)","(58, 2017)","(4, 2014)","(102, 2013)"
662,"(8, 2013)","(25, 2012)","(4, 2013)","(8, 2015)","(40, 2012)","(40, 2016)","(40, 2012)","(4, 2012)","(19, 2017)","(25, 2012)","(104, 2014)","(102, 2017)"
663,"(19, 2017)","(104, 2016)","(19, 2017)","(0, 2014)","(8, 2013)","(102, 2017)","(25, 2015)","(58, 2017)","(102, 2015)","(19, 2017)","(4, 2016)","(4, 2015)"
664,"(102, 2013)","(104, 2013)","(40, 2014)","(4, 2012)","(25, 2016)","(4, 2015)","(8, 2013)","(25, 2012)","(4, 2013)","(0, 2016)","(104, 2013)","(19, 2016)"
665,"(0, 2015)","(58, 2016)","(0, 2014)","(25, 2016)","(19, 2015)","(4, 2012)","(4, 2017)","(19, 2012)","(4, 2017)","(104, 2012)","(8, 2012)","(104, 2017)"
666,"(40, 2017)","(19, 2016)","(0, 2017)","(19, 2017)","(102, 2012)","(104, 2014)","(25, 2014)","(102, 2012)","(8, 2014)","(40, 2013)","(4, 2014)","(8, 2014)"
667,"(102, 2017)","(19, 2016)","(102, 2015)","(102, 2014)","(19, 2012)","(25, 2017)","(0, 2016)","(104, 2013)","(8, 2015)","(102, 2014)","(0, 2016)","(104, 2017)"
668,"(58, 2014)","(8, 2015)","(25, 2012)","(102, 2016)","(40, 2016)","(58, 2013)","(40, 2017)","(40, 2016)","(8, 2016)","(4, 2012)","(25, 2015)","(58, 2017)"
669,"(8, 2012)","(40, 2012)","(19, 2014)","(0, 2016)","(4, 2014)","(4, 2012)","(104, 2017)","(4, 2017)","(40, 2013)","(19, 2013)","(0, 2012)","(58, 2017)"
670,"(19, 2017)","(8, 2016)","(0, 2017)","(25, 2015)","(19, 2016)","(104, 2013)","(102, 2014)","(8, 2016)","(102, 2015)","(4, 2014)","(102, 2016)","(4, 2015)"
671,"(4, 2015)","(8, 2016)","(0, 2017)","(4, 2015)","(104, 2017)","(4, 2013)","(25, 2012)","(102, 2014)","(104, 2012)","(4, 2015)","(102, 2012)","(40, 2017)"
672,"(0, 2013)","(58, 2014)","(0, 2013)","(4, 2014)","(19, 2013)","(58, 2014)","(4, 2013)","(58, 2014)","(0, 2015)","(40, 2016)","(25, 2015)","(4, 2015)"
673,"(19, 2014)","(8, 2016)","(40, 2016)","(8, 2016)","(40, 2016)","(0, 2015)","(102, 2014)","(4, 2016)","(0, 2016)","(58, 2012)","(58, 2014)","(4, 2013)"
674,"(58, 2012)","(25, 2013)","(58, 2013)","(0, 2015)","(25, 2017)","(8, 2016)","(8, 2014)","(25, 2014)","(102, 2012)","(40, 2015)","(8, 2016)","(40, 2013)"
675,"(102, 2013)","(19, 2014)","(102, 2012)","(0, 2015)","(0, 2012)","(0, 2016)","(0, 2017)","(40, 2012)","(40, 2015)","(102, 2015)","(58, 2016)","(8, 2012)"
676,"(0, 2013)","(8, 2017)","(102, 2015)","(4, 2014)","(4, 2016)","(40, 2014)","(104, 2017)","(8, 2014)","(58, 2013)","(102, 2012)","(4, 2013)","(0, 2013)"
677,"(40, 2017)","(104, 2017)","(58, 2017)","(25, 2017)","(8, 2013)","(25, 2013)","(104, 2014)","(0, 2012)","(4, 2014)","(102, 2016)","(40, 2014)","(4, 2016)"
678,"(8, 2014)","(4, 2016)","(8, 2015)","(8, 2015)","(8, 2013)","(25, 2014)","(25, 2012)","(104, 2013)","(102, 2014)","(19, 2013)","(25, 2014)","(104, 2015)"
679,"(25, 2017)","(104, 2016)","(58, 2017)","(19, 2016)","(58, 2016)","(40, 2012)","(4, 2016)","(58, 2012)","(58, 2012)","(58, 2016)","(104, 2014)","(102, 2017)"
680,"(58, 2013)","(8, 2015)","(8, 2013)","(102, 2016)","(8, 2013)","(58, 2015)","(58, 2016)","(102, 2014)","(8, 2016)","(19, 2015)","(0, 2016)","(25, 2016)"
681,"(0, 2012)","(4, 2014)","(19, 2013)","(4, 2017)","(104, 2015)","(4, 2014)","(40, 2015)","(19, 2013)","(40, 2012)","(0, 2015)","(104, 2017)","(102, 2014)"
682,"(58, 2016)","(104, 2013)","(0, 2016)","(102, 2012)","(102, 2014)","(40, 2015)","(40, 2016)","(40, 2015)","(40, 2016)","(40, 2017)","(104, 2014)","(102, 2012)"
683,"(19, 2015)","(19, 2014)","(19, 2013)","(0, 2015)","(104, 2012)","(104, 2017)","(0, 2015)","(19, 2014)","(25, 2012)","(104, 2016)","(40, 2012)","(19, 2016)"
684,"(25, 2017)","(4, 2017)","(25, 2014)","(104, 2013)","(8, 2017)","(25, 2014)","(4, 2015)","(19, 2016)","(0, 2015)","(8, 2015)","(58, 2014)","(104, 2017)"
685,"(0, 2017)","(102, 2016)","(102, 2014)","(19, 2016)","(102, 2016)","(58, 2015)","(8, 2016)","(40, 2014)","(40, 2017)","(40, 2015)","(58, 2015)","(4, 2013)"
686,"(102, 2014)","(104, 2016)","(4, 2017)","(19, 2017)","(104, 2015)","(0, 2017)","(4, 2013)","(0, 2016)","(25, 2012)","(40, 2012)","(58, 2016)","(19, 2016)"
687,"(102, 2017)","(40, 2012)","(104, 2016)","(8, 2017)","(25, 2016)","(4, 2014)","(40, 2014)","(4, 2017)","(19, 2016)","(8, 2016)","(102, 2014)","(8, 2017)"
688,"(19, 2015)","(8, 2014)","(4, 2015)","(4, 2017)","(58, 2015)","(19, 2017)","(8, 2016)","(40, 2013)","(0, 2013)","(8, 2016)","(40, 2012)","(19, 2013)"
689,"(4, 2017)","(19, 2014)","(58, 2014)","(104, 2015)","(25, 2013)","(19, 2012)","(25, 2017)","(102, 2015)","(40, 2014)","(8, 2013)","(8, 2017)","(4, 2012)"
690,"(19, 2016)","(19, 2013)","(40, 2013)","(102, 2017)","(19, 2016)","(19, 2013)","(25, 2015)","(4, 2017)","(104, 2013)","(58, 2016)","(25, 2013)","(25, 2015)"
691,"(0, 2017)","(102, 2016)","(25, 2016)","(0, 2017)","(19, 2012)","(25, 2016)","(40, 2017)","(19, 2016)","(40, 2017)","(8, 2012)","(58, 2016)","(25, 2012)"
692,"(8, 2015)","(4, 2017)","(4, 2014)","(19, 2013)","(0, 2013)","(25, 2017)","(104, 2015)","(58, 2014)","(58, 2017)","(40, 2013)","(25, 2012)","(19, 2014)"
693,"(0, 2013)","(40, 2016)","(104, 2015)","(25, 2014)","(0, 2015)","(58, 2014)","(104, 2016)","(102, 2013)","(102, 2014)","(25, 2017)","(58, 2015)","(8, 2012)"
